Local time,Open,High,Low,Close,Volume
02.04.2017 17:00:00.000 GMT-0400,143.704,144.122,143.061,143.744,191986378.2246
03.04.2017 17:00:00.000 GMT-0400,143.275,144.893,143.212,144.771,170391549.00519997
04.04.2017 17:00:00.000 GMT-0400,144.645,145.464,143.820,144.065,201475255.99980003
05.04.2017 17:00:00.000 GMT-0400,144.304,144.522,143.461,143.721,189329792.11679998
06.04.2017 17:00:00.000 GMT-0400,143.795,144.183,143.284,143.351,172346462.52759996
09.04.2017 17:00:00.000 GMT-0400,143.751,143.872,142.911,143.171,166728334.7318
10.04.2017 17:00:00.000 GMT-0400,142.945,143.353,140.072,141.633,220938745.88230002
11.04.2017 17:00:00.000 GMT-0400,141.605,142.151,141.020,141.801,194534065.68980002
12.04.2017 17:00:00.000 GMT-0400,141.942,142.381,141.081,141.101,191784473.6744
16.04.2017 17:00:00.000 GMT-0400,141.191,141.875,140.882,141.875,151384301.60219997
17.04.2017 17:00:00.000 GMT-0400,141.492,142.043,141.120,141.264,182759451.2851
18.04.2017 17:00:00.000 GMT-0400,141.892,141.994,140.460,140.684,164906018.6707
19.04.2017 17:00:00.000 GMT-0400,141.231,142.930,140.684,142.551,177820379.40440002
20.04.2017 17:00:00.000 GMT-0400,142.581,142.674,141.860,142.274,158715386.7372
23.04.2017 17:00:00.000 GMT-0400,143.581,143.954,142.274,143.701,157417141.6191
24.04.2017 17:00:00.000 GMT-0400,144.001,144.904,143.701,144.561,179370018.6927
25.04.2017 17:00:00.000 GMT-0400,144.583,144.596,143.380,143.682,200695860.98000002
26.04.2017 17:00:00.000 GMT-0400,143.941,144.154,143.320,143.802,175406865.62849998
27.04.2017 17:00:00.000 GMT-0400,144.112,144.302,143.271,143.663,182597766.0715
30.04.2017 17:00:00.000 GMT-0400,145.003,147.194,143.663,146.651,192535652.7539
01.05.2017 17:00:00.000 GMT-0400,147.545,148.093,146.651,147.521,181582192.5552
02.05.2017 17:00:00.000 GMT-0400,145.602,147.521,144.291,147.064,220567931.6962
03.05.2017 17:00:00.000 GMT-0400,146.555,147.152,145.821,146.535,186989052.2912
04.05.2017 17:00:00.000 GMT-0400,146.824,148.983,146.535,148.983,174553954.7467
07.05.2017 17:00:00.000 GMT-0400,149.074,153.702,148.983,153.061,201209831.0735
08.05.2017 17:00:00.000 GMT-0400,153.894,154.881,153.061,154.004,194104303.7213
09.05.2017 17:00:00.000 GMT-0400,153.651,154.004,152.121,153.281,166901218.6696
10.05.2017 17:00:00.000 GMT-0400,152.661,154.071,152.320,154.004,166794665.5071
11.05.2017 17:00:00.000 GMT-0400,154.902,156.421,154.004,156.121,174697569.2212
14.05.2017 17:00:00.000 GMT-0400,156.034,156.653,155.051,155.662,155409918.1363
15.05.2017 17:00:00.000 GMT-0400,156.003,156.054,154.731,155.484,150666922.26
16.05.2017 17:00:00.000 GMT-0400,153.991,155.484,149.734,150.254,224613044.29360002
17.05.2017 17:00:00.000 GMT-0400,151.444,153.340,150.254,152.544,208897997.465
18.05.2017 17:00:00.000 GMT-0400,153.441,153.983,152.544,153.061,168980729.593
21.05.2017 17:00:00.000 GMT-0400,154.094,154.581,152.919,154.034,151686775.05470002
22.05.2017 17:00:00.000 GMT-0400,154.905,154.905,153.330,153.822,153656176.5886
23.05.2017 17:00:00.000 GMT-0400,153.853,154.161,152.691,153.404,156650548.6182
24.05.2017 17:00:00.000 GMT-0400,153.794,154.343,153.040,153.912,160287148.61459997
25.05.2017 17:00:00.000 GMT-0400,153.834,154.239,153.319,153.650,151654186.5388
29.05.2017 17:00:00.000 GMT-0400,153.431,154.432,153.341,153.674,153089453.41689998
30.05.2017 17:00:00.000 GMT-0400,154.033,154.195,152.390,152.773,173532747.1029
31.05.2017 17:00:00.000 GMT-0400,153.201,153.353,152.231,153.202,164138993.92270002
01.06.2017 17:00:00.000 GMT-0400,153.605,155.473,152.900,155.473,175891532.6781
04.06.2017 17:00:00.000 GMT-0400,154.452,155.473,153.481,153.955,168441924.80669996
05.06.2017 17:00:00.000 GMT-0400,153.902,155.809,153.803,154.462,174792417.8313
06.06.2017 17:00:00.000 GMT-0400,155.042,155.981,154.462,155.380,176181769.98560002
07.06.2017 17:00:00.000 GMT-0400,155.284,155.531,154.415,154.975,174088526.11699998
08.06.2017 17:00:00.000 GMT-0400,155.191,155.194,146.060,149.032,254255648.1379
11.06.2017 17:00:00.000 GMT-0400,145.642,149.032,142.655,145.462,278130229.221
12.06.2017 17:00:00.000 GMT-0400,147.205,147.453,145.161,146.576,217857315.9799
13.06.2017 17:00:00.000 GMT-0400,147.491,147.495,143.855,145.135,218049442.63590002
14.06.2017 17:00:00.000 GMT-0400,143.311,145.135,142.250,144.332,216701278.03460002
15.06.2017 17:00:00.000 GMT-0400,143.851,144.499,142.211,142.311,204951153.4097
18.06.2017 17:00:00.000 GMT-0400,144.300,146.748,142.311,146.343,197804678.8146
19.06.2017 17:00:00.000 GMT-0400,146.870,146.875,144.960,145.025,184444246.88210002
20.06.2017 17:00:00.000 GMT-0400,145.529,146.070,144.619,145.876,202710000.99190003
21.06.2017 17:00:00.000 GMT-0400,145.790,146.707,145.120,145.655,193289997.1008
22.06.2017 17:00:00.000 GMT-0400,145.150,147.158,145.130,146.290,189680000.3051
