Local time,Open,High,Low,Close,Volume
16.02.2017 09:30:00.000 GMT-0500,135.694,135.900,135.420,135.660,2465043.0083999997
16.02.2017 09:35:00.000 GMT-0500,135.661,135.778,135.520,135.609,2841787.0403000005
16.02.2017 09:40:00.000 GMT-0500,135.617,135.736,135.366,135.390,3171716.0345
16.02.2017 09:45:00.000 GMT-0500,135.390,135.390,135.210,135.310,2447983.9802
16.02.2017 09:50:00.000 GMT-0500,135.305,135.310,135.107,135.149,2471593.9463
16.02.2017 09:55:00.000 GMT-0500,135.146,135.210,135.088,135.140,2445988.0291999998
16.02.2017 10:00:00.000 GMT-0500,135.140,135.180,134.850,134.990,2494390.0407
16.02.2017 10:05:00.000 GMT-0500,134.991,135.310,134.990,135.288,2399498.0455
16.02.2017 10:10:00.000 GMT-0500,135.290,135.407,135.170,135.189,2196690.9766
16.02.2017 10:15:00.000 GMT-0500,135.187,135.215,135.050,135.088,2423642.0096
16.02.2017 10:20:00.000 GMT-0500,135.090,135.250,135.090,135.150,2055283.9934999999
16.02.2017 10:25:00.000 GMT-0500,135.150,135.170,135.060,135.139,2379502.0283
16.02.2017 10:30:00.000 GMT-0500,135.139,135.349,135.082,135.349,2541066.0505000004
16.02.2017 10:35:00.000 GMT-0500,135.350,135.357,135.180,135.189,2401614.964
16.02.2017 10:40:00.000 GMT-0500,135.188,135.364,135.188,135.279,2387232.9891999997
16.02.2017 10:45:00.000 GMT-0500,135.281,135.284,135.025,135.025,2827114.9697000002
16.02.2017 10:50:00.000 GMT-0500,135.030,135.120,134.870,134.886,2800986.9754000003
16.02.2017 10:55:00.000 GMT-0500,134.888,135.060,134.841,135.050,2653827.0116999997
16.02.2017 11:00:00.000 GMT-0500,135.050,135.135,135.000,135.060,2279500.0076
16.02.2017 11:05:00.000 GMT-0500,135.062,135.087,134.900,135.030,2329215.9737000004
16.02.2017 11:10:00.000 GMT-0500,135.034,135.180,134.964,135.180,2620170.9807
16.02.2017 11:15:00.000 GMT-0500,135.175,135.234,135.130,135.177,2281146.9733
16.02.2017 11:20:00.000 GMT-0500,135.182,135.211,135.130,135.157,2093097.9849000003
16.02.2017 11:25:00.000 GMT-0500,135.158,135.252,135.130,135.234,2193655.0141000003
16.02.2017 11:30:00.000 GMT-0500,135.240,135.310,135.199,135.284,1587677.0019
16.02.2017 11:35:00.000 GMT-0500,135.287,135.310,135.120,135.140,2170095.9801999996
16.02.2017 11:40:00.000 GMT-0500,135.140,135.250,135.120,135.200,1999072.9987999997
16.02.2017 11:45:00.000 GMT-0500,135.202,135.208,135.091,135.168,1835823.9829
16.02.2017 11:50:00.000 GMT-0500,135.169,135.280,135.160,135.199,1840266.0191000002
16.02.2017 11:55:00.000 GMT-0500,135.196,135.220,135.110,135.200,1542820.0067
16.02.2017 12:00:00.000 GMT-0500,135.201,135.249,135.160,135.210,1895537.0039000001
16.02.2017 12:05:00.000 GMT-0500,135.210,135.240,135.149,135.160,1892285.0043000001
16.02.2017 12:10:00.000 GMT-0500,135.160,135.255,135.160,135.187,1521445.9896999998
16.02.2017 12:15:00.000 GMT-0500,135.188,135.270,135.179,135.260,1407784.9685999998
16.02.2017 12:20:00.000 GMT-0500,135.251,135.350,135.250,135.310,1552479.0139
16.02.2017 12:25:00.000 GMT-0500,135.310,135.436,135.289,135.436,1747124.9996999998
16.02.2017 12:30:00.000 GMT-0500,135.453,135.456,135.348,135.370,1312970.0272
16.02.2017 12:35:00.000 GMT-0500,135.370,135.470,135.348,135.418,1560084.0002000001
16.02.2017 12:40:00.000 GMT-0500,135.420,135.450,135.389,135.450,1714609.9805
16.02.2017 12:45:00.000 GMT-0500,135.450,135.450,135.387,135.390,1528395.9807
16.02.2017 12:50:00.000 GMT-0500,135.390,135.440,135.330,135.360,1022285.0068999999
16.02.2017 12:55:00.000 GMT-0500,135.360,135.360,135.246,135.250,1585872.0243000002
16.02.2017 13:00:00.000 GMT-0500,135.250,135.250,135.166,135.177,1948228.9851999998
16.02.2017 13:05:00.000 GMT-0500,135.186,135.280,135.156,135.270,2010327.9949
16.02.2017 13:10:00.000 GMT-0500,135.272,135.323,135.228,135.255,1871919.0061
16.02.2017 13:15:00.000 GMT-0500,135.260,135.331,135.248,135.290,1668035.0005
16.02.2017 13:20:00.000 GMT-0500,135.290,135.323,135.241,135.260,2003621.9954999997
16.02.2017 13:25:00.000 GMT-0500,135.259,135.300,135.148,135.267,1954045.0275000003
16.02.2017 13:30:00.000 GMT-0500,135.268,135.300,135.170,135.220,2063034.9814000002
16.02.2017 13:35:00.000 GMT-0500,135.220,135.310,135.217,135.299,1949790.0010000002
16.02.2017 13:40:00.000 GMT-0500,135.296,135.319,135.140,135.196,2070668.9655000002
16.02.2017 13:45:00.000 GMT-0500,135.199,135.279,135.160,135.259,1741477.0126
16.02.2017 13:50:00.000 GMT-0500,135.260,135.290,135.229,135.290,1882326.0367
16.02.2017 13:55:00.000 GMT-0500,135.294,135.304,135.190,135.249,2139275.9682
16.02.2017 14:00:00.000 GMT-0500,135.249,135.349,135.248,135.311,1235487.0141000003
16.02.2017 14:05:00.000 GMT-0500,135.310,135.380,135.290,135.340,1635631.9934
16.02.2017 14:10:00.000 GMT-0500,135.332,135.377,135.317,135.346,1385602.0272000001
16.02.2017 14:15:00.000 GMT-0500,135.340,135.350,135.138,135.232,1889210.9694
16.02.2017 14:20:00.000 GMT-0500,135.230,135.270,135.141,135.210,1899456.9779
16.02.2017 14:25:00.000 GMT-0500,135.210,135.297,135.210,135.289,1502270.9966
16.02.2017 14:30:00.000 GMT-0500,135.286,135.286,135.226,135.237,1651623.0107
16.02.2017 14:35:00.000 GMT-0500,135.232,135.240,135.129,135.150,1731853.9918
16.02.2017 14:40:00.000 GMT-0500,135.150,135.240,135.150,135.169,1781552.9853
16.02.2017 14:45:00.000 GMT-0500,135.170,135.210,135.110,135.110,1867881.9835
16.02.2017 14:50:00.000 GMT-0500,135.114,135.150,135.050,135.140,1849892.9738
16.02.2017 14:55:00.000 GMT-0500,135.140,135.254,135.137,135.242,1828604.9963
16.02.2017 15:00:00.000 GMT-0500,135.246,135.275,135.220,135.258,1484071.9849999999
16.02.2017 15:05:00.000 GMT-0500,135.257,135.280,135.236,135.250,1222722.9923
16.02.2017 15:10:00.000 GMT-0500,135.251,135.364,135.250,135.329,1509970.9928
16.02.2017 15:15:00.000 GMT-0500,135.330,135.350,135.247,135.250,1642980.039
16.02.2017 15:20:00.000 GMT-0500,135.255,135.308,135.220,135.220,1577695.0121
16.02.2017 15:25:00.000 GMT-0500,135.222,135.260,135.118,135.120,1638364.017
16.02.2017 15:30:00.000 GMT-0500,135.120,135.240,135.120,135.240,2031574.9646
16.02.2017 15:35:00.000 GMT-0500,135.231,135.280,135.218,135.280,1239759.9816
16.02.2017 15:40:00.000 GMT-0500,135.280,135.280,135.245,135.260,1036520.0043
16.02.2017 15:45:00.000 GMT-0500,135.255,135.260,135.220,135.240,1185410.0078
16.02.2017 15:50:00.000 GMT-0500,135.240,135.289,135.202,135.288,1806519.9852
16.02.2017 15:55:00.000 GMT-0500,135.289,135.364,135.230,135.344,2057682.0075
16.02.2017 16:00:00.000 GMT-0500,135.354,135.363,135.352,135.363,78500.0026
17.02.2017 09:30:00.000 GMT-0500,135.112,135.590,135.112,135.373,2898431.0329
17.02.2017 09:35:00.000 GMT-0500,135.370,135.518,135.171,135.187,3112254.0236
17.02.2017 09:40:00.000 GMT-0500,135.190,135.344,135.180,135.260,2515459.0011
17.02.2017 09:45:00.000 GMT-0500,135.260,135.486,135.260,135.480,2411857.0387
17.02.2017 09:50:00.000 GMT-0500,135.472,135.472,135.340,135.378,1870537.9664
17.02.2017 09:55:00.000 GMT-0500,135.380,135.600,135.330,135.599,2282034.0097000003
17.02.2017 10:00:00.000 GMT-0500,135.600,135.790,135.500,135.650,2478103.9655
17.02.2017 10:05:00.000 GMT-0500,135.650,135.692,135.505,135.526,2266547.054
