Local time,Open,High,Low,Close,Volume
15.03.2017 09:30:00.000 GMT-0400,139.425,139.470,139.210,139.310,2630537.9867
15.03.2017 09:35:00.000 GMT-0400,139.311,139.324,139.101,139.243,2497491.9855
15.03.2017 09:40:00.000 GMT-0400,139.243,139.280,139.134,139.170,2547223.0612999997
15.03.2017 09:45:00.000 GMT-0400,139.180,139.225,139.070,139.113,2384309.9773
15.03.2017 09:50:00.000 GMT-0400,139.110,139.234,139.024,139.170,2497575.0149
15.03.2017 09:55:00.000 GMT-0400,139.170,139.310,139.101,139.250,2234150.0223000003
15.03.2017 10:00:00.000 GMT-0400,139.247,139.310,139.183,139.252,2447928.0412
15.03.2017 10:05:00.000 GMT-0400,139.252,139.274,139.180,139.220,2060730.0103
15.03.2017 10:10:00.000 GMT-0400,139.220,139.331,139.210,139.321,1953655.9880000004
15.03.2017 10:15:00.000 GMT-0400,139.330,139.343,139.220,139.300,2104880.0051
15.03.2017 10:20:00.000 GMT-0400,139.300,139.350,139.290,139.303,1707221.955
15.03.2017 10:25:00.000 GMT-0400,139.302,139.340,139.280,139.320,1533250.019
15.03.2017 10:30:00.000 GMT-0400,139.322,139.340,139.241,139.290,1903893.9476
15.03.2017 10:35:00.000 GMT-0400,139.290,139.310,139.249,139.249,1705094.9931
15.03.2017 10:40:00.000 GMT-0400,139.244,139.281,139.210,139.250,1625285.0293999999
15.03.2017 10:45:00.000 GMT-0400,139.243,139.243,139.150,139.161,1475070.0295
15.03.2017 10:50:00.000 GMT-0400,139.160,139.181,139.121,139.150,1143029.9729
15.03.2017 10:55:00.000 GMT-0400,139.150,139.232,139.140,139.210,1427445.0241999999
15.03.2017 11:00:00.000 GMT-0400,139.210,139.221,139.162,139.192,1247334.9869
15.03.2017 11:05:00.000 GMT-0400,139.193,139.231,139.181,139.231,1243459.9697
15.03.2017 11:10:00.000 GMT-0400,139.232,139.290,139.232,139.280,1222750.0081
15.03.2017 11:15:00.000 GMT-0400,139.283,139.310,139.240,139.301,1345569.9980000001
15.03.2017 11:20:00.000 GMT-0400,139.302,139.370,139.272,139.370,1181460.008
15.03.2017 11:25:00.000 GMT-0400,139.370,139.460,139.370,139.423,1264694.9888
15.03.2017 11:30:00.000 GMT-0400,139.424,139.460,139.383,139.450,1576420.009
15.03.2017 11:35:00.000 GMT-0400,139.449,139.490,139.440,139.483,1127325.0132999998
15.03.2017 11:40:00.000 GMT-0400,139.484,139.490,139.470,139.484,1142444.9981
