Local time,Open,High,Low,Close,Volume
02.11.2017 09:40:00.000 GMT-0400,10.820,10.820,10.780,10.800,238210.00009999998
02.11.2017 09:45:00.000 GMT-0400,10.790,10.890,10.780,10.890,417249.99999999994
02.11.2017 09:50:00.000 GMT-0400,10.880,10.900,10.820,10.830,399050.00289999996
02.11.2017 09:55:00.000 GMT-0400,10.840,10.850,10.790,10.850,356320.0087
02.11.2017 10:00:00.000 GMT-0400,10.860,10.880,10.810,10.830,394519.99970000004
02.11.2017 10:05:00.000 GMT-0400,10.835,10.850,10.760,10.780,434359.9975
02.11.2017 10:10:00.000 GMT-0400,10.790,10.800,10.750,10.780,339420.0001
02.11.2017 10:15:00.000 GMT-0400,10.780,10.830,10.750,10.770,550870.02
02.11.2017 10:20:00.000 GMT-0400,10.760,10.760,10.720,10.720,335079.99960000004
02.11.2017 10:25:00.000 GMT-0400,10.730,10.770,10.730,10.740,313749.9988
02.11.2017 10:30:00.000 GMT-0400,10.730,10.760,10.720,10.760,267689.9992
02.11.2017 10:35:00.000 GMT-0400,10.770,10.770,10.740,10.740,161060.0017
02.11.2017 10:40:00.000 GMT-0400,10.750,10.790,10.740,10.750,394800.00730000006
02.11.2017 10:45:00.000 GMT-0400,10.755,10.780,10.740,10.770,129619.9987
02.11.2017 10:50:00.000 GMT-0400,10.775,10.780,10.740,10.740,226879.9954
02.11.2017 10:55:00.000 GMT-0400,10.750,10.760,10.740,10.750,239639.9966
02.11.2017 11:00:00.000 GMT-0400,10.755,10.832,10.750,10.832,368949.99809999997
02.11.2017 11:05:00.000 GMT-0400,10.822,10.892,10.812,10.863,1638029.9777
02.11.2017 11:10:00.000 GMT-0400,10.863,10.993,10.863,10.962,1982979.9979999997
02.11.2017 11:15:00.000 GMT-0400,10.952,10.963,10.853,10.862,1491999.969
02.11.2017 11:20:00.000 GMT-0400,10.863,10.922,10.863,10.922,1124220.0285
02.11.2017 11:25:00.000 GMT-0400,10.913,10.922,10.892,10.902,1223669.9909
02.11.2017 11:30:00.000 GMT-0400,10.892,10.893,10.852,10.872,944989.9867000001
02.11.2017 11:35:00.000 GMT-0400,10.873,10.873,10.802,10.823,1296159.9826
02.11.2017 11:40:00.000 GMT-0400,10.822,10.872,10.813,10.852,996969.9968999999
02.11.2017 11:45:00.000 GMT-0400,10.842,10.853,10.822,10.823,898679.9717
02.11.2017 11:50:00.000 GMT-0400,10.822,10.833,10.812,10.813,767929.9937
02.11.2017 11:55:00.000 GMT-0400,10.812,10.833,10.812,10.822,592405.9824
02.11.2017 12:00:00.000 GMT-0400,10.832,10.843,10.822,10.842,359149.9962
02.11.2017 12:05:00.000 GMT-0400,10.843,10.863,10.832,10.853,1147419.9891
02.11.2017 12:10:00.000 GMT-0400,10.852,10.853,10.832,10.832,1638709.9995999997
02.11.2017 12:15:00.000 GMT-0400,10.833,10.833,10.802,10.813,968830.0005999999
02.11.2017 12:20:00.000 GMT-0400,10.812,10.842,10.812,10.832,583500.0034
02.11.2017 12:25:00.000 GMT-0400,10.833,10.893,10.832,10.872,662919.9981
02.11.2017 12:30:00.000 GMT-0400,10.873,10.883,10.852,10.872,256059.9968
02.11.2017 12:35:00.000 GMT-0400,10.873,10.873,10.852,10.852,906809.9968
02.11.2017 12:40:00.000 GMT-0400,10.843,10.843,10.812,10.812,1248249.9815
02.11.2017 12:45:00.000 GMT-0400,10.813,10.842,10.812,10.832,1188379.9881
02.11.2017 12:50:00.000 GMT-0400,10.833,10.853,10.832,10.843,1363019.9954
02.11.2017 12:55:00.000 GMT-0400,10.842,10.862,10.822,10.832,486589.9961
02.11.2017 13:00:00.000 GMT-0400,10.833,10.842,10.822,10.822,347820.0076
02.11.2017 13:05:00.000 GMT-0400,10.823,10.832,10.822,10.832,651159.9944
02.11.2017 13:10:00.000 GMT-0400,10.833,10.853,10.832,10.852,529440.0044
02.11.2017 13:15:00.000 GMT-0400,10.862,10.863,10.842,10.852,762299.9995
02.11.2017 13:20:00.000 GMT-0400,10.853,10.853,10.832,10.833,713419.9813000001
02.11.2017 13:25:00.000 GMT-0400,10.832,10.833,10.812,10.813,707820.0020999999
02.11.2017 13:30:00.000 GMT-0400,10.812,10.832,10.812,10.823,1061980.0165
02.11.2017 13:35:00.000 GMT-0400,10.822,10.833,10.812,10.833,962310.0162
02.11.2017 13:40:00.000 GMT-0400,10.832,10.833,10.812,10.822,1180910.0174
02.11.2017 13:45:00.000 GMT-0400,10.823,10.823,10.772,10.792,1309440.0167
02.11.2017 13:50:00.000 GMT-0400,10.793,10.793,10.772,10.773,1082990.0056
02.11.2017 13:55:00.000 GMT-0400,10.772,10.773,10.772,10.772,749800.0114999999
02.11.2017 14:00:00.000 GMT-0400,10.773,10.783,10.772,10.782,1004879.9963
02.11.2017 14:05:00.000 GMT-0400,10.783,10.803,10.772,10.782,695739.9921
02.11.2017 14:10:00.000 GMT-0400,10.783,10.813,10.782,10.802,1054279.9943
02.11.2017 14:15:00.000 GMT-0400,10.803,10.803,10.782,10.793,1866760.0452999999
02.11.2017 14:20:00.000 GMT-0400,10.792,10.813,10.782,10.812,1096449.9767999998
02.11.2017 14:25:00.000 GMT-0400,10.812,10.823,10.802,10.822,1467639.9865
02.11.2017 14:30:00.000 GMT-0400,10.823,10.823,10.782,10.782,953169.9865
02.11.2017 14:35:00.000 GMT-0400,10.783,10.802,10.772,10.802,387720.0055000001
02.11.2017 14:40:00.000 GMT-0400,10.792,10.812,10.782,10.792,234239.99680000002
02.11.2017 14:45:00.000 GMT-0400,10.793,10.793,10.792,10.792,972250.0145999999
02.11.2017 14:50:00.000 GMT-0400,10.793,10.793,10.772,10.793,2104440.0186
