Date,Close,Open,High,Low
10-May-19,0.7001,0.6989,0.7019,0.6978
09-May-19,0.6989,0.6989,0.6999,0.6963
08-May-19,0.6989,0.7013,0.7027,0.6984
07-May-19,0.7014,0.6992,0.705,0.6982
06-May-19,0.699,0.698,0.7003,0.6961
05-May-19,0.6973,0.6985,0.7,0.6964
03-May-19,0.7024,0.7003,0.7025,0.6983
02-May-19,0.7,0.7015,0.7029,0.6993
01-May-19,0.7016,0.7049,0.7064,0.7006
30-Apr-19,0.7049,0.7057,0.707,0.7029
29-Apr-19,0.7057,0.7036,0.7063,0.703
28-Apr-19,0.7043,0.7037,0.7046,0.7031
26-Apr-19,0.704,0.7015,0.7062,0.7006
25-Apr-19,0.7015,0.7016,0.7024,0.6987
24-Apr-19,0.7016,0.7101,0.7103,0.7003
23-Apr-19,0.7102,0.7133,0.714,0.7079
22-Apr-19,0.7134,0.714,0.7158,0.7127
21-Apr-19,0.7147,0.7144,0.7159,0.7144
19-Apr-19,0.7153,0.7151,0.7159,0.7141
18-Apr-19,0.7151,0.7179,0.72,0.7134
17-Apr-19,0.7179,0.7175,0.7206,0.7152
16-Apr-19,0.7176,0.7174,0.7179,0.7137
15-Apr-19,0.7174,0.7171,0.7183,0.7162
14-Apr-19,0.7171,0.7172,0.7181,0.7169
12-Apr-19,0.7173,0.7125,0.7194,0.7115
11-Apr-19,0.7124,0.7171,0.7172,0.7114
10-Apr-19,0.7173,0.7125,0.7177,0.7109
09-Apr-19,0.7123,0.7127,0.7153,0.7117
08-Apr-19,0.7127,0.7093,0.7132,0.7086
07-Apr-19,0.71,0.7101,0.7109,0.7099
05-Apr-19,0.7106,0.7111,0.7131,0.7089
04-Apr-19,0.7112,0.7113,0.7128,0.7096
03-Apr-19,0.7113,0.707,0.7129,0.7052
02-Apr-19,0.7073,0.7114,0.7131,0.7053
01-Apr-19,0.7112,0.7113,0.7133,0.7101
31-Mar-19,0.7113,0.712,0.713,0.7104
29-Mar-19,0.7097,0.7078,0.7107,0.7073
28-Mar-19,0.7076,0.7084,0.7107,0.7063
27-Mar-19,0.7085,0.7133,0.7143,0.7066
26-Mar-19,0.7135,0.711,0.7147,0.7105
25-Mar-19,0.7113,0.7077,0.7117,0.7065
24-Mar-19,0.7081,0.7086,0.7086,0.7074
22-Mar-19,0.7084,0.7113,0.712,0.7075
21-Mar-19,0.7112,0.7116,0.7168,0.7088
20-Mar-19,0.7116,0.7086,0.7149,0.7055
19-Mar-19,0.7088,0.7103,0.7112,0.7083
