"Date","Price","Open","High","Low","Change %"
"May 10, 2019","0.7001","0.6989","0.7019","0.6978","0.17%"
"May 09, 2019","0.6989","0.6989","0.6999","0.6963","0.00%"
"May 08, 2019","0.6989","0.7013","0.7027","0.6984","-0.36%"
"May 07, 2019","0.7014","0.6992","0.7050","0.6982","0.34%"
"May 06, 2019","0.6990","0.6980","0.7003","0.6961","0.24%"
"May 05, 2019","0.6973","0.6985","0.7000","0.6964","-0.73%"
"May 03, 2019","0.7024","0.7003","0.7025","0.6983","0.34%"
"May 02, 2019","0.7000","0.7015","0.7029","0.6993","-0.23%"
"May 01, 2019","0.7016","0.7049","0.7064","0.7006","-0.47%"
"Apr 30, 2019","0.7049","0.7057","0.7070","0.7029","-0.11%"
"Apr 29, 2019","0.7057","0.7036","0.7063","0.7030","0.20%"
"Apr 28, 2019","0.7043","0.7037","0.7046","0.7031","0.04%"
"Apr 26, 2019","0.7040","0.7015","0.7062","0.7006","0.36%"
"Apr 25, 2019","0.7015","0.7016","0.7024","0.6987","-0.01%"
"Apr 24, 2019","0.7016","0.7101","0.7103","0.7003","-1.21%"
"Apr 23, 2019","0.7102","0.7133","0.7140","0.7079","-0.45%"
"Apr 22, 2019","0.7134","0.7140","0.7158","0.7127","-0.19%"
"Apr 21, 2019","0.7147","0.7144","0.7159","0.7144","-0.08%"
"Apr 19, 2019","0.7153","0.7151","0.7159","0.7141","0.03%"
"Apr 18, 2019","0.7151","0.7179","0.7200","0.7134","-0.39%"
"Apr 17, 2019","0.7179","0.7175","0.7206","0.7152","0.04%"
"Apr 16, 2019","0.7176","0.7174","0.7179","0.7137","0.03%"
"Apr 15, 2019","0.7174","0.7171","0.7183","0.7162","0.04%"
"Apr 14, 2019","0.7171","0.7172","0.7181","0.7169","-0.03%"
"Apr 12, 2019","0.7173","0.7125","0.7194","0.7115","0.69%"
"Apr 11, 2019","0.7124","0.7171","0.7172","0.7114","-0.68%"
"Apr 10, 2019","0.7173","0.7125","0.7177","0.7109","0.70%"
"Apr 09, 2019","0.7123","0.7127","0.7153","0.7117","-0.06%"
"Apr 08, 2019","0.7127","0.7093","0.7132","0.7086","0.38%"
