Date,Close,Open,High,Low,Volume
10-May-19,70.8,70.64,71.22,70.17,
09-May-19,70.39,70.23,70.65,69.4,328.74K
08-May-19,70.37,69.88,70.7,69.33,295.44K
07-May-19,69.88,71.15,71.33,69.38,332.07K
06-May-19,71.24,70.59,71.79,68.79,227.02K
05-May-19,69.48,69.71,69.75,69.21,
03-May-19,70.85,70.48,71.54,69.95,249.81K
02-May-19,70.75,72,72.22,69.68,346.63K
01-May-19,72.18,71.73,72.36,71.3,230.80K
30-Apr-19,72.8,71.94,73.27,71.73,25.34K
29-Apr-19,72.04,71.56,72.5,71.06,147.41K
26-Apr-19,72.15,74.2,74.42,71.3,222.89K
25-Apr-19,74.35,74.46,75.6,74,309.21K
24-Apr-19,74.57,74.27,74.73,74.02,276.67K
23-Apr-19,74.51,74.38,74.73,73.99,308.99K
22-Apr-19,74.04,71.93,74.52,71.86,305.17K
18-Apr-19,71.97,71.63,72.04,71.2,259.04K
17-Apr-19,71.62,71.83,72.27,71.45,276.61K
16-Apr-19,71.72,71.21,71.95,70.74,273.90K
15-Apr-19,71.18,71.55,71.6,70.78,219.15K
12-Apr-19,71.55,70.95,71.87,70.9,237.22K
11-Apr-19,70.83,71.56,71.68,70.57,278.09K
10-Apr-19,71.73,70.82,71.78,70.57,288.89K
09-Apr-19,70.61,71.19,71.34,70.3,267.49K
08-Apr-19,71.1,70.56,71.19,70.43,288.13K
05-Apr-19,70.34,69.13,70.48,68.92,263.87K
04-Apr-19,69.4,69.44,70.03,68.87,281.88K
03-Apr-19,69.31,69.47,69.96,68.8,341.50K
02-Apr-19,69.37,69.22,69.58,68.69,299.30K
01-Apr-19,69.01,67.58,69.22,67.58,320.77K
29-Mar-19,68.39,68.01,68.89,67.81,20.62K
28-Mar-19,67.82,67.75,68,66.54,131.64K
27-Mar-19,67.83,67.9,68.35,67.19,148.15K
26-Mar-19,67.97,67.36,68.23,67.24,197.54K
25-Mar-19,67.21,67,67.65,66.36,216.76K
22-Mar-19,67.03,67.76,67.98,66.2,284.52K
21-Mar-19,67.86,68.38,68.69,67.59,303.23K
20-Mar-19,68.5,67.66,68.57,67.19,235.49K
19-Mar-19,67.61,67.49,68.2,67.13,234.14K
18-Mar-19,67.54,67.14,67.69,66.69,208.53K
15-Mar-19,67.16,67.18,67.71,66.13,254.32K
14-Mar-19,67.23,67.65,68.14,67.03,235.99K
13-Mar-19,67.55,66.91,67.76,66.7,243.20K
12-Mar-19,66.67,66.7,67.39,66.34,252.13K
11-Mar-19,66.58,65.76,66.75,65.63,247.81K
08-Mar-19,65.74,66.08,66.09,64.02,316.39K
07-Mar-19,66.3,65.88,67,65.75,276.24K
06-Mar-19,65.99,65.49,66.18,65.22,283.20K
05-Mar-19,65.86,65.46,66.23,65.04,216.39K
04-Mar-19,65.67,64.97,66.34,64.93,233.54K
01-Mar-19,65.07,66.48,67.14,64.59,297.19K
28-Feb-19,66.03,66.38,66.38,65.67,19.67K
27-Feb-19,66.39,65.64,66.7,65.27,102.14K
26-Feb-19,65.21,64.79,65.74,64.32,127.60K
25-Feb-19,64.76,66.97,67.47,64.54,220.94K
22-Feb-19,67.12,66.96,67.73,66.87,177.62K
21-Feb-19,67.07,67.05,67.31,66.69,245.86K
20-Feb-19,67.08,66.3,67.38,65.63,276.48K
19-Feb-19,66.45,66.44,66.65,65.58,246.65K
18-Feb-19,66.5,66.39,66.83,65.9,175.24K
15-Feb-19,66.25,64.86,66.39,64.42,290.55K
14-Feb-19,64.57,63.69,64.81,63.25,287.45K
13-Feb-19,63.61,62.7,63.98,62.69,269.68K
12-Feb-19,62.42,61.59,63.34,61.59,278.80K
11-Feb-19,61.51,62.11,62.34,60.9,280.96K
08-Feb-19,62.1,61.66,62.36,61.04,254.95K
07-Feb-19,61.63,62.5,62.91,60.6,286.17K
06-Feb-19,62.69,62.06,62.8,61.05,225.57K
05-Feb-19,61.98,62.64,63.02,61.72,215.36K
04-Feb-19,62.51,62.83,63.63,61.28,297.43K
01-Feb-19,62.75,61.06,62.97,60.46,267.22K
31-Jan-19,61.89,61.97,62.32,61.57,20.63K
30-Jan-19,61.65,61.26,62.67,61.04,90.93K
29-Jan-19,61.32,59.87,61.79,59.75,142.13K
28-Jan-19,59.93,61.49,61.69,59.49,214.19K
25-Jan-19,61.64,61.13,61.92,60.7,218.03K
24-Jan-19,61.09,61.02,61.51,60.41,274.48K
23-Jan-19,61.14,61.37,62.33,60.21,308.46K
22-Jan-19,61.5,62.59,62.71,60.57,283.22K
21-Jan-19,62.74,62.74,63.15,62.25,138.08K
18-Jan-19,62.7,61.33,63,61.32,288.91K
17-Jan-19,61.18,61.05,61.54,60.04,278.42K
16-Jan-19,61.32,60.42,61.45,60.03,315.59K
15-Jan-19,60.64,59.36,60.86,59.11,234.36K
14-Jan-19,58.99,60.62,61.04,58.9,263.28K
11-Jan-19,60.48,61.19,62.49,60.08,292.79K
10-Jan-19,61.68,61.15,61.91,60.44,300.92K
09-Jan-19,61.44,59.15,61.69,59.05,329.05K
08-Jan-19,58.72,57.64,58.87,57.13,288.25K
07-Jan-19,57.33,57.41,58.93,57.26,296.58K
04-Jan-19,57.06,55.67,58.31,55.34,321.11K
03-Jan-19,55.95,54.29,56.3,53.93,278.36K
02-Jan-19,54.91,54.12,56.56,52.51,300.95K
31-Dec-18,53.8,53,54.82,52.66,109.11K
28-Dec-18,52.2,53.44,53.8,51.6,17.11K
27-Dec-18,52.16,54.65,54.67,51.94,102.59K
26-Dec-18,54.47,50.84,55.29,49.93,77.00K
24-Dec-18,50.47,53.49,54.66,50.36,76.22K
21-Dec-18,53.82,54.97,55.33,52.79,226.34K
20-Dec-18,54.35,56.49,56.75,54.28,299.45K
19-Dec-18,57.24,56.51,58.11,56.04,319.37K
18-Dec-18,56.26,59,59.24,55.89,398.56K
17-Dec-18,59.61,60.25,61.21,58.64,246.03K
14-Dec-18,60.28,61.53,61.58,59.92,206.56K
13-Dec-18,61.45,60.29,62.02,59.33,252.40K
12-Dec-18,60.15,60.67,61.43,59.98,246.92K
11-Dec-18,60.2,59.91,61.1,59.58,235.33K
10-Dec-18,59.97,61.34,62.33,59.61,264.95K
07-Dec-18,61.67,60.25,63.73,59.1,423.08K
06-Dec-18,60.06,61.36,61.97,58.36,399.99K
05-Dec-18,61.56,61.35,63.29,60.8,256.24K
04-Dec-18,62.08,61.9,63.58,61.24,277.42K
03-Dec-18,61.69,59.98,62.6,59.85,294.77K
30-Nov-18,58.71,59.28,59.93,58.25,27.02K
