Date,Close,Open,High,Low
10-May-19,1.733,1.679,1.736,1.677
09-May-19,1.68,1.691,1.707,1.654
08-May-19,1.707,1.691,1.712,1.654
07-May-19,1.685,1.723,1.734,1.673
06-May-19,1.736,1.732,1.739,1.716
03-May-19,1.765,1.762,1.79,1.753
02-May-19,1.762,1.72,1.774,1.715
01-May-19,1.703,1.71,1.715,1.68
30-Apr-19,1.712,1.74,1.745,1.711
29-Apr-19,1.723,1.713,1.735,1.685
26-Apr-19,1.687,1.689,1.725,1.683
25-Apr-19,1.705,1.675,1.718,1.674
24-Apr-19,1.676,1.724,1.724,1.666
23-Apr-19,1.75,1.778,1.801,1.75
22-Apr-19,1.787,1.79,1.794,1.766
18-Apr-19,1.766,1.819,1.819,1.764
17-Apr-19,1.802,1.811,1.835,1.79
16-Apr-19,1.783,1.766,1.788,1.742
15-Apr-19,1.756,1.783,1.807,1.746
12-Apr-19,1.783,1.717,1.784,1.708
11-Apr-19,1.721,1.691,1.725,1.686
10-Apr-19,1.682,1.724,1.73,1.681
09-Apr-19,1.73,1.735,1.743,1.706
08-Apr-19,1.735,1.7,1.736,1.692
05-Apr-19,1.7,1.709,1.726,1.686
04-Apr-19,1.7,1.684,1.704,1.681
03-Apr-19,1.711,1.689,1.713,1.688
02-Apr-19,1.667,1.675,1.676,1.649
01-Apr-19,1.703,1.617,1.705,1.617
29-Mar-19,1.617,1.559,1.642,1.558
28-Mar-19,1.563,1.521,1.563,1.51
27-Mar-19,1.532,1.553,1.556,1.508
26-Mar-19,1.576,1.572,1.597,1.561
25-Mar-19,1.55,1.597,1.626,1.532
22-Mar-19,1.597,1.656,1.667,1.584
21-Mar-19,1.668,1.666,1.683,1.635
20-Mar-19,1.667,1.726,1.756,1.667
19-Mar-19,1.728,1.71,1.763,1.705
18-Mar-19,1.716,1.716,1.739,1.709
15-Mar-19,1.716,1.759,1.762,1.704
14-Mar-19,1.757,1.766,1.78,1.753
13-Mar-19,1.766,1.751,1.768,1.746
12-Mar-19,1.738,1.77,1.786,1.728
11-Mar-19,1.755,1.773,1.774,1.75
08-Mar-19,1.765,1.75,1.787,1.732
07-Mar-19,1.763,1.807,1.818,1.756
06-Mar-19,1.827,1.853,1.868,1.79
05-Mar-19,1.88,1.879,1.88,1.879
04-Mar-19,1.896,1.942,1.946,1.894
01-Mar-19,1.938,1.943,1.963,1.919
28-Feb-19,1.943,1.909,1.955,1.892
27-Feb-19,1.915,1.867,1.926,1.859
26-Feb-19,1.866,1.9,1.9,1.856
25-Feb-19,1.895,1.891,1.925,1.891
22-Feb-19,1.891,1.906,1.913,1.881
21-Feb-19,1.924,1.904,1.939,1.904
20-Feb-19,1.895,1.885,1.912,1.883
19-Feb-19,1.89,1.889,1.908,1.881
15-Feb-19,1.895,1.876,1.914,1.876
14-Feb-19,1.876,1.923,1.923,1.866
13-Feb-19,1.935,1.92,1.947,1.916
12-Feb-19,1.918,1.931,1.938,1.911
11-Feb-19,1.903,1.9,1.933,1.9
08-Feb-19,1.881,1.87,1.906,1.855
07-Feb-19,1.877,1.92,1.924,1.869
06-Feb-19,1.924,1.912,1.954,1.906
05-Feb-19,1.939,1.97,1.979,1.928
04-Feb-19,1.963,1.96,1.977,1.953
01-Feb-19,1.959,1.881,1.97,1.878
31-Jan-19,1.879,1.901,1.905,1.865
30-Jan-19,1.913,1.956,1.972,1.912
29-Jan-19,1.941,1.963,1.969,1.933
28-Jan-19,1.963,1.977,1.994,1.952
25-Jan-19,1.977,1.946,1.982,1.94
