Date,Close,Open,High,Low
10-May-19,1.675,1.67,1.685,1.67
09-May-19,1.67,1.67,1.67,1.665
08-May-19,1.67,1.67,1.67,1.665
07-May-19,1.67,1.665,1.67,1.665
06-May-19,1.67,1.67,1.67,1.665
03-May-19,1.67,1.67,1.67,1.67
02-May-19,1.68,1.675,1.68,1.67
01-May-19,1.675,1.67,1.68,1.67
30-Apr-19,1.68,1.675,1.69,1.675
29-Apr-19,1.68,1.675,1.685,1.675
26-Apr-19,1.675,1.675,1.69,1.67
25-Apr-19,1.68,1.67,1.7,1.67
24-Apr-19,1.675,1.675,1.685,1.675
23-Apr-19,1.68,1.68,1.7,1.68
22-Apr-19,1.68,1.675,1.69,1.675
19-Apr-19,1.67,1.67,1.67,1.67
18-Apr-19,1.67,1.675,1.68,1.67
17-Apr-19,1.68,1.675,1.705,1.665
16-Apr-19,1.68,1.675,1.71,1.675
15-Apr-19,1.675,1.67,1.7,1.67
12-Apr-19,1.675,1.67,1.685,1.67
11-Apr-19,1.67,1.67,1.68,1.665
10-Apr-19,1.67,1.68,1.68,1.66
09-Apr-19,1.67,1.68,1.68,1.665
08-Apr-19,1.67,1.665,1.675,1.655
07-Apr-19,1.665,1.665,1.665,1.665
05-Apr-19,1.665,1.67,1.67,1.66
04-Apr-19,1.665,1.66,1.665,1.66
03-Apr-19,1.665,1.66,1.67,1.65
02-Apr-19,1.665,1.671,1.674,1.66
01-Apr-19,1.67,1.665,1.685,1.66
29-Mar-19,1.665,1.67,1.685,1.66
28-Mar-19,1.66,1.665,1.665,1.66
27-Mar-19,1.66,1.66,1.665,1.655
26-Mar-19,1.66,1.66,1.666,1.66
25-Mar-19,1.655,1.66,1.665,1.655
22-Mar-19,1.65,1.66,1.66,1.65
21-Mar-19,1.655,1.66,1.665,1.655
20-Mar-19,1.66,1.655,1.665,1.655
19-Mar-19,1.66,1.653,1.66,1.653
18-Mar-19,1.66,1.645,1.66,1.645
15-Mar-19,1.65,1.65,1.655,1.635
14-Mar-19,1.65,1.65,1.65,1.635
13-Mar-19,1.65,1.65,1.65,1.645
12-Mar-19,1.65,1.64,1.65,1.64
11-Mar-19,1.65,1.645,1.65,1.645
08-Mar-19,1.65,1.65,1.655,1.64
07-Mar-19,1.655,1.665,1.665,1.65
06-Mar-19,1.67,1.675,1.68,1.66
05-Mar-19,1.68,1.678,1.68,1.67
04-Mar-19,1.66,1.665,1.67,1.66
01-Mar-19,1.67,1.665,1.67,1.66
28-Feb-19,1.67,1.67,1.67,1.665
27-Feb-19,1.665,1.68,1.68,1.665
26-Feb-19,1.68,1.675,1.68,1.67
25-Feb-19,1.68,1.675,1.685,1.67
22-Feb-19,1.68,1.68,1.68,1.66
21-Feb-19,1.68,1.675,1.68,1.665
20-Feb-19,1.68,1.68,1.705,1.67
19-Feb-19,1.68,1.675,1.69,1.675
15-Feb-19,1.675,1.67,1.675,1.665
14-Feb-19,1.67,1.67,1.68,1.66
13-Feb-19,1.675,1.665,1.675,1.66
12-Feb-19,1.665,1.66,1.665,1.655
11-Feb-19,1.66,1.66,1.67,1.65
08-Feb-19,1.66,1.65,1.66,1.65
07-Feb-19,1.66,1.665,1.665,1.65
06-Feb-19,1.66,1.665,1.67,1.66
05-Feb-19,1.67,1.67,1.67,1.65
04-Feb-19,1.66,1.65,1.66,1.65
01-Feb-19,1.655,1.65,1.66,1.645
31-Jan-19,1.65,1.65,1.655,1.645
30-Jan-19,1.65,1.635,1.66,1.635
29-Jan-19,1.64,1.635,1.645,1.63
28-Jan-19,1.635,1.63,1.635,1.63
25-Jan-19,1.635,1.63,1.635,1.625
24-Jan-19,1.63,1.625,1.63,1.62
23-Jan-19,1.63,1.625,1.63,1.615
22-Jan-19,1.625,1.635,1.635,1.625
21-Jan-19,1.62,1.62,1.625,1.615
18-Jan-19,1.62,1.62,1.625,1.61
17-Jan-19,1.61,1.615,1.615,1.61
16-Jan-19,1.61,1.61,1.61,1.61
15-Jan-19,1.61,1.61,1.615,1.61
14-Jan-19,1.615,1.615,1.63,1.605
11-Jan-19,1.62,1.615,1.62,1.61
10-Jan-19,1.615,1.615,1.625,1.605
09-Jan-19,1.625,1.625,1.63,1.62
08-Jan-19,1.615,1.645,1.65,1.615
07-Jan-19,1.625,1.63,1.635,1.625
04-Jan-19,1.63,1.64,1.64,1.62
03-Jan-19,1.63,1.65,1.65,1.63
02-Jan-19,1.65,1.65,1.655,1.64
31-Dec-18,1.64,1.655,1.655,1.64
28-Dec-18,1.65,1.655,1.655,1.65
27-Dec-18,1.66,1.67,1.67,1.65
26-Dec-18,1.665,1.665,1.665,1.665
24-Dec-18,1.67,1.67,1.67,1.66
21-Dec-18,1.67,1.663,1.675,1
20-Dec-18,1.64,1.635,1.645,1.63
19-Dec-18,1.64,1.63,1.64,1.63
18-Dec-18,1.63,1.63,1.63,1.63
17-Dec-18,1.63,1.635,1.64,1.625
14-Dec-18,1.64,1.64,1.64,1.63
13-Dec-18,1.64,1.655,1.655,1.635
12-Dec-18,1.66,1.655,1.66,1.655
11-Dec-18,1.66,1.66,1.665,1.63
10-Dec-18,1.64,1.63,1.645,1.63
07-Dec-18,1.63,1.635,1.675,1.63
06-Dec-18,1.64,1.67,1.67,1.64
05-Dec-18,1.67,1.685,1.685,1.67
04-Dec-18,1.685,1.695,1.695,1.685
03-Dec-18,1.695,1.695,1.7,1.695
30-Nov-18,1.7,1.71,1.71,1.695
29-Nov-18,1.71,1.71,1.71,1.705
28-Nov-18,1.715,1.715,1.725,1.69
27-Nov-18,1.715,1.725,1.727,1.71
26-Nov-18,1.69,1.695,1.7,1.69
23-Nov-18,1.69,1.695,1.695,1.69
22-Nov-18,1.7,1.695,1.7,1.675
21-Nov-18,1.695,1.695,1.7,1.695
20-Nov-18,1.7,1.695,1.7,1.695
19-Nov-18,1.695,1.695,1.7,1.69
16-Nov-18,1.695,1.7,1.705,1.695
15-Nov-18,1.67,1.72,1.72,1.67
14-Nov-18,1.715,1.72,1.72,1.715
13-Nov-18,1.725,1.729,1.735,1.655
12-Nov-18,1.71,1.71,1.71,1.71
09-Nov-18,1.705,1.71,1.71,1.705
08-Nov-18,1.71,1.71,1.71,1.705
07-Nov-18,1.705,1.71,1.71,1.7
06-Nov-18,1.71,1.705,1.71,1.705
05-Nov-18,1.705,1.715,1.72,1.705
02-Nov-18,1.715,1.725,1.725,1.715
01-Nov-18,1.725,1.735,1.745,1.72
31-Oct-18,1.74,1.735,1.745,1.72
30-Oct-18,1.74,1.732,1.74,1.73
29-Oct-18,1.72,1.715,1.725,1.715
26-Oct-18,1.715,1.715,1.715,1.715
25-Oct-18,1.72,1.715,1.72,1.715
24-Oct-18,1.72,1.67,1.72,1.67
23-Oct-18,1.67,1.66,1.68,1.66
22-Oct-18,1.66,1.655,1.665,1.655
19-Oct-18,1.655,1.65,1.66,1.65
18-Oct-18,1.655,1.65,1.655,1.575
17-Oct-18,1.645,1.655,1.655,1.645
16-Oct-18,1.535,1.664,1.67,1.56
15-Oct-18,1.52,1.4,1.655,1.4
12-Oct-18,1.55,1.62,1.62,1.545
11-Oct-18,1.605,1.605,1.615,1.5
10-Oct-18,1.6,1.605,1.61,1.6
09-Oct-18,1.5,1.61,1.61,1.53
08-Oct-18,1.595,1.595,1.595,1.595
05-Oct-18,1.6,1.6,1.6,1.53
04-Oct-18,1.5,1.615,1.615,1.5
03-Oct-18,1.55,1.625,1.625,1.525
02-Oct-18,1.525,1.618,1.64,1.555
01-Oct-18,1.6,1.58,1.6,1.58
28-Sep-18,1.585,1.575,1.585,1.57
27-Sep-18,1.57,1.58,1.58,1.57
26-Sep-18,1.58,1.575,1.575,1.515
25-Sep-18,1.58,1.57,1.575,1.565
24-Sep-18,1.57,1.56,1.57,1.555
21-Sep-18,1.56,1.555,1.56,1.505
20-Sep-18,1.55,1.545,1.55,1.495
19-Sep-18,1.55,1.55,1.56,1.545
18-Sep-18,1.48,1.565,1.57,1.5
17-Sep-18,1.525,1.525,1.53,1.525
14-Sep-18,1.525,1.53,1.53,1.525
13-Sep-18,1.525,1.53,1.53,1.49
12-Sep-18,1.525,1.525,1.53,1.525
11-Sep-18,1.49,1.53,1.53,1.49
10-Sep-18,1.525,1.525,1.54,1.48
07-Sep-18,1.525,1.53,1.535,1.525
06-Sep-18,1.53,1.51,1.54,1.5
05-Sep-18,1.495,1.55,1.55,1.455
04-Sep-18,1.555,1.555,1.56,1.485
03-Sep-18,1.54,1.54,1.54,1.54
31-Aug-18,1.54,1.535,1.54,1.535
30-Aug-18,1.53,1.54,1.54,1.53
29-Aug-18,1.54,1.5,1.545,1.475
28-Aug-18,1.53,1.53,1.535,1.525
27-Aug-18,1.53,1.53,1.535,1.42
