Local time,Open,High,Low,Close,Volume
04.12.2017 04:45:00.000 GMT-0500,2047.015,2049.302,2037.702,2037.862,0.0029000000000000002
04.12.2017 04:50:00.000 GMT-0500,2038.060,2041.311,2036.738,2040.900,0.0005
04.12.2017 04:55:00.000 GMT-0500,2041.200,2044.238,2040.673,2042.892,0.0005
04.12.2017 05:00:00.000 GMT-0500,2041.783,2042.310,2039.682,2040.099,0.0005
04.12.2017 05:05:00.000 GMT-0500,2040.958,2041.390,2038.708,2039.748,0.0002
04.12.2017 05:10:00.000 GMT-0500,2040.266,2041.286,2037.841,2038.844,0.0007000000000000001
04.12.2017 05:15:00.000 GMT-0500,2037.941,2040.242,2036.787,2037.933,0.0014
04.12.2017 05:20:00.000 GMT-0500,2038.136,2041.877,2037.947,2040.138,0.0004
04.12.2017 05:25:00.000 GMT-0500,2039.927,2040.390,2039.564,2039.954,0.0005
04.12.2017 05:30:00.000 GMT-0500,2039.884,2040.496,2037.861,2040.197,0.0006000000000000001
04.12.2017 05:35:00.000 GMT-0500,2040.103,2044.263,2039.829,2042.014,0.0007
04.12.2017 05:40:00.000 GMT-0500,2041.960,2042.441,2040.772,2041.302,0.0005
04.12.2017 05:45:00.000 GMT-0500,2040.813,2042.356,2040.041,2041.299,0.0004
04.12.2017 05:50:00.000 GMT-0500,2041.064,2042.289,2040.728,2042.289,0.0001
04.12.2017 05:55:00.000 GMT-0500,2041.770,2042.452,2040.670,2041.217,0.0009
04.12.2017 06:00:00.000 GMT-0500,2040.778,2042.324,2039.692,2042.089,0.0005
04.12.2017 06:05:00.000 GMT-0500,2041.996,2044.314,2041.672,2043.082,0.0004
04.12.2017 06:10:00.000 GMT-0500,2042.884,2044.307,2042.729,2042.886,0.0001
04.12.2017 06:15:00.000 GMT-0500,2043.162,2049.333,2042.719,2047.758,0.0014
04.12.2017 06:20:00.000 GMT-0500,2048.764,2050.313,2044.112,2045.953,0.0019999999999999996
04.12.2017 06:25:00.000 GMT-0500,2046.814,2049.443,2045.742,2048.805,0.0031000000000000003
04.12.2017 06:30:00.000 GMT-0500,2048.706,2050.996,2045.851,2047.249,0.0024
04.12.2017 06:35:00.000 GMT-0500,2046.814,2048.268,2045.859,2047.041,0.0028
04.12.2017 06:40:00.000 GMT-0500,2047.268,2047.325,2045.721,2046.295,0.0016000000000000003
04.12.2017 06:45:00.000 GMT-0500,2045.065,2046.479,2043.681,2044.692,0.0005
04.12.2017 06:50:00.000 GMT-0500,2044.321,2047.447,2043.793,2044.150,0.0009000000000000001
04.12.2017 06:55:00.000 GMT-0500,2044.314,2045.268,2042.686,2042.823,0.0005
04.12.2017 07:00:00.000 GMT-0500,2043.775,2044.488,2042.793,2044.027,0.0007999999999999999
04.12.2017 07:05:00.000 GMT-0500,2043.874,2046.481,2043.536,2046.067,0.002
04.12.2017 07:10:00.000 GMT-0500,2046.278,2047.031,2044.522,2047.024,0.0017
04.12.2017 07:15:00.000 GMT-0500,2046.793,2048.283,2045.878,2047.862,0.0001
04.12.2017 07:20:00.000 GMT-0500,2046.729,2048.315,2045.794,2046.930,0.0004
04.12.2017 07:25:00.000 GMT-0500,2045.958,2047.265,2044.956,2046.920,0.0002
04.12.2017 07:30:00.000 GMT-0500,2046.817,2047.481,2042.787,2045.831,0.0016
04.12.2017 07:35:00.000 GMT-0500,2046.151,2047.331,2045.562,2046.598,0.0009
04.12.2017 07:40:00.000 GMT-0500,2046.651,2046.651,2040.837,2043.748,0.0021
04.12.2017 07:45:00.000 GMT-0500,2043.691,2045.306,2042.672,2042.811,0.001
04.12.2017 07:50:00.000 GMT-0500,2043.053,2043.071,2039.717,2039.995,0.00039999999999999996
04.12.2017 07:55:00.000 GMT-0500,2040.028,2041.209,2036.838,2040.634,0.0009
04.12.2017 08:00:00.000 GMT-0500,2041.382,2041.439,2035.748,2036.841,0.0040999999999999995
04.12.2017 08:05:00.000 GMT-0500,2036.671,2043.461,2036.668,2042.276,0.0037
04.12.2017 08:10:00.000 GMT-0500,2041.771,2042.369,2037.864,2038.684,0.003
04.12.2017 08:15:00.000 GMT-0500,2038.763,2042.305,2036.720,2036.972,0.0012000000000000001
04.12.2017 08:20:00.000 GMT-0500,2037.317,2038.827,2036.512,2037.128,0.0036
04.12.2017 08:25:00.000 GMT-0500,2037.379,2039.460,2035.700,2038.305,0.0033
04.12.2017 08:30:00.000 GMT-0500,2038.104,2039.495,2036.670,2037.882,0.0033
04.12.2017 08:35:00.000 GMT-0500,2037.613,2042.413,2037.537,2042.179,0.0040999999999999995
04.12.2017 08:40:00.000 GMT-0500,2042.134,2042.435,2040.668,2041.023,0.0027
04.12.2017 08:45:00.000 GMT-0500,2040.976,2041.331,2039.675,2040.011,0.0022
04.12.2017 08:50:00.000 GMT-0500,2040.067,2041.307,2039.671,2041.207,0.0022
04.12.2017 08:55:00.000 GMT-0500,2041.071,2041.327,2035.694,2036.751,0.0039
04.12.2017 09:00:00.000 GMT-0500,2037.194,2038.270,2035.694,2036.969,0.0018
04.12.2017 09:05:00.000 GMT-0500,2035.839,2039.019,2035.747,2037.395,0.0019
04.12.2017 09:10:00.000 GMT-0500,2037.010,2037.333,2033.834,2036.214,0.0023
04.12.2017 09:15:00.000 GMT-0500,2036.330,2037.998,2033.667,2035.219,0.0024000000000000002
04.12.2017 09:20:00.000 GMT-0500,2034.867,2035.425,2033.670,2034.930,0.003
04.12.2017 09:25:00.000 GMT-0500,2035.103,2035.331,2030.757,2032.212,0.0026999999999999997
04.12.2017 09:30:00.000 GMT-0500,2031.572,2032.481,2017.712,2022.057,0.01
04.12.2017 09:35:00.000 GMT-0500,2020.795,2022.459,2015.119,2021.127,0.0078
04.12.2017 09:40:00.000 GMT-0500,2022.212,2024.489,2019.714,2022.284,0.0015
04.12.2017 09:45:00.000 GMT-0500,2021.778,2026.258,2021.689,2021.881,0.0012000000000000001
04.12.2017 09:50:00.000 GMT-0500,2022.028,2023.841,2017.890,2019.219,0.0019
04.12.2017 09:55:00.000 GMT-0500,2018.836,2019.002,2013.859,2013.865,0.0015
04.12.2017 10:00:00.000 GMT-0500,2014.104,2016.473,2013.695,2015.950,0.0031999999999999997
04.12.2017 10:05:00.000 GMT-0500,2016.186,2019.266,2011.077,2018.805,0.004999999999999999
04.12.2017 10:10:00.000 GMT-0500,2019.154,2021.444,2016.720,2021.147,0.0033000000000000004
04.12.2017 10:15:00.000 GMT-0500,2020.693,2021.358,2013.671,2016.048,0.0036000000000000003
04.12.2017 10:20:00.000 GMT-0500,2016.157,2016.463,2010.929,2012.150,0.004
04.12.2017 10:25:00.000 GMT-0500,2012.157,2013.191,2010.708,2012.076,0.0038
04.12.2017 10:30:00.000 GMT-0500,2012.075,2013.493,2009.878,2010.839,0.0042
04.12.2017 10:35:00.000 GMT-0500,2011.166,2014.488,2010.670,2012.105,0.0035
04.12.2017 10:40:00.000 GMT-0500,2012.695,2013.489,2011.506,2012.165,0.0047
04.12.2017 10:45:00.000 GMT-0500,2012.137,2015.331,2011.687,2013.928,0.0039
04.12.2017 10:50:00.000 GMT-0500,2014.842,2017.289,2010.560,2013.125,0.0103
04.12.2017 10:55:00.000 GMT-0500,2012.935,2015.908,2011.848,2014.148,0.0044
04.12.2017 11:00:00.000 GMT-0500,2013.846,2015.321,2012.841,2013.922,0.0028000000000000004
04.12.2017 11:05:00.000 GMT-0500,2014.087,2015.400,2012.725,2014.148,0.0014
04.12.2017 11:10:00.000 GMT-0500,2014.019,2015.326,2012.849,2013.929,0.003
04.12.2017 11:15:00.000 GMT-0500,2013.973,2014.326,2012.834,2013.962,0.0042
04.12.2017 11:20:00.000 GMT-0500,2013.866,2017.262,2013.848,2016.066,0.0027
04.12.2017 11:25:00.000 GMT-0500,2016.153,2017.306,2012.870,2013.056,0.0023
04.12.2017 11:30:00.000 GMT-0500,2012.944,2013.328,2009.670,2010.717,0.0068
