Local time,Open,High,Low,Close,Volume
04.12.2017 02:45:00.000 GMT-0500,132.738,133.275,132.738,133.275,12
04.12.2017 02:50:00.000 GMT-0500,132.925,135.274,132.925,134.772,80
04.12.2017 02:55:00.000 GMT-0500,134.997,135.281,134.698,134.777,80
04.12.2017 03:00:00.000 GMT-0500,134.847,135.251,134.652,135.206,80
04.12.2017 03:05:00.000 GMT-0500,134.660,135.263,134.632,135.241,80
04.12.2017 03:10:00.000 GMT-0500,135.150,135.240,134.617,135.061,80
04.12.2017 03:15:00.000 GMT-0500,135.142,135.264,134.619,134.644,80
04.12.2017 03:20:00.000 GMT-0500,134.652,135.280,134.633,135.275,80
04.12.2017 03:25:00.000 GMT-0500,135.127,135.274,134.619,135.114,80
04.12.2017 03:30:00.000 GMT-0500,134.854,135.270,134.684,134.887,80
04.12.2017 03:35:00.000 GMT-0500,134.968,135.135,134.523,134.523,80
04.12.2017 03:40:00.000 GMT-0500,134.925,135.146,134.527,134.780,80
04.12.2017 03:45:00.000 GMT-0500,134.674,135.181,134.550,135.068,80
04.12.2017 03:50:00.000 GMT-0500,134.644,135.137,134.519,134.986,80
04.12.2017 03:55:00.000 GMT-0500,135.063,135.170,134.547,135.139,80
04.12.2017 04:00:00.000 GMT-0500,135.179,135.179,134.580,135.071,80
04.12.2017 04:05:00.000 GMT-0500,135.096,135.096,134.464,134.711,83
04.12.2017 04:10:00.000 GMT-0500,134.754,134.807,134.211,134.278,94
04.12.2017 04:15:00.000 GMT-0500,133.565,134.481,133.033,133.100,2838
04.12.2017 04:20:00.000 GMT-0500,133.102,134.418,133.085,133.344,723
04.12.2017 04:25:00.000 GMT-0500,133.363,134.280,133.240,133.300,376
04.12.2017 04:30:00.000 GMT-0500,133.276,134.369,133.184,133.305,421
04.12.2017 04:35:00.000 GMT-0500,133.315,133.402,133.241,133.251,335
04.12.2017 04:40:00.000 GMT-0500,133.252,133.371,133.236,133.347,155
04.12.2017 04:45:00.000 GMT-0500,133.352,133.419,133.334,133.419,242
04.12.2017 04:50:00.000 GMT-0500,133.404,134.284,133.383,133.526,279
04.12.2017 04:55:00.000 GMT-0500,133.494,133.566,133.436,133.460,180
04.12.2017 05:00:00.000 GMT-0500,133.460,133.574,133.438,133.458,370
04.12.2017 05:05:00.000 GMT-0500,133.459,133.564,133.333,133.340,257
04.12.2017 05:10:00.000 GMT-0500,133.348,133.523,133.348,133.501,325
04.12.2017 05:15:00.000 GMT-0500,133.502,133.516,133.484,133.484,128
04.12.2017 05:20:00.000 GMT-0500,133.511,134.623,133.391,133.512,122
04.12.2017 05:25:00.000 GMT-0500,133.459,134.462,133.349,133.409,197
04.12.2017 05:30:00.000 GMT-0500,133.435,134.796,133.385,133.488,238
04.12.2017 05:35:00.000 GMT-0500,133.448,133.523,133.434,133.494,131
04.12.2017 05:40:00.000 GMT-0500,133.498,133.521,133.385,133.414,336
04.12.2017 05:45:00.000 GMT-0500,133.406,133.448,133.334,133.334,211
04.12.2017 05:50:00.000 GMT-0500,133.411,133.420,133.347,133.420,129
04.12.2017 05:55:00.000 GMT-0500,133.366,133.420,133.338,133.361,86
04.12.2017 06:00:00.000 GMT-0500,133.287,133.366,133.284,133.361,99
04.12.2017 06:05:00.000 GMT-0500,133.349,133.412,133.334,133.408,99
04.12.2017 06:10:00.000 GMT-0500,133.391,134.238,133.284,133.307,224
04.12.2017 06:15:00.000 GMT-0500,133.355,133.367,133.292,133.363,108
04.12.2017 06:20:00.000 GMT-0500,133.358,133.358,133.234,133.353,479
04.12.2017 06:25:00.000 GMT-0500,133.372,133.375,133.279,133.297,183
04.12.2017 06:30:00.000 GMT-0500,133.312,133.315,133.238,133.305,48
04.12.2017 06:35:00.000 GMT-0500,133.305,133.316,133.284,133.301,30
04.12.2017 06:40:00.000 GMT-0500,133.337,134.600,133.337,133.457,503
04.12.2017 06:45:00.000 GMT-0500,133.451,134.325,133.339,133.400,168
04.12.2017 06:50:00.000 GMT-0500,133.393,133.464,133.384,133.398,229
04.12.2017 06:55:00.000 GMT-0500,133.454,134.371,133.328,133.395,374
04.12.2017 07:00:00.000 GMT-0500,133.359,133.359,133.234,133.257,243
04.12.2017 07:05:00.000 GMT-0500,133.317,133.358,133.286,133.291,111
04.12.2017 07:10:00.000 GMT-0500,133.301,133.349,133.262,133.292,170
04.12.2017 07:15:00.000 GMT-0500,133.316,134.563,133.284,133.437,269
04.12.2017 07:20:00.000 GMT-0500,133.509,134.689,133.437,133.491,159
04.12.2017 07:25:00.000 GMT-0500,133.496,133.523,133.437,133.504,61
04.12.2017 07:30:00.000 GMT-0500,133.479,133.518,133.425,133.455,106
04.12.2017 07:35:00.000 GMT-0500,133.458,134.648,133.380,133.482,300
04.12.2017 07:40:00.000 GMT-0500,133.485,133.522,133.377,133.447,368
04.12.2017 07:45:00.000 GMT-0500,133.389,133.400,133.227,133.227,298
04.12.2017 07:50:00.000 GMT-0500,133.192,133.273,133.128,133.148,609
04.12.2017 07:55:00.000 GMT-0500,133.095,134.315,132.942,133.406,439
04.12.2017 08:00:00.000 GMT-0500,133.466,134.226,133.238,133.322,825
04.12.2017 08:05:00.000 GMT-0500,133.367,133.563,133.286,133.503,1078
04.12.2017 08:10:00.000 GMT-0500,133.484,133.563,133.327,133.520,1023
04.12.2017 08:15:00.000 GMT-0500,133.562,134.977,133.509,133.897,1801
04.12.2017 08:20:00.000 GMT-0500,133.894,134.935,133.889,134.111,1627
04.12.2017 08:25:00.000 GMT-0500,134.105,135.273,133.742,133.903,1198
04.12.2017 08:30:00.000 GMT-0500,133.843,135.378,133.834,134.290,1614
04.12.2017 08:35:00.000 GMT-0500,134.304,135.444,134.236,134.602,3002
04.12.2017 08:40:00.000 GMT-0500,134.610,134.668,134.285,134.361,1432
04.12.2017 08:45:00.000 GMT-0500,134.351,135.872,134.288,134.553,1492
04.12.2017 08:50:00.000 GMT-0500,134.545,135.724,134.394,134.434,1109
04.12.2017 08:55:00.000 GMT-0500,134.457,134.980,133.838,133.879,1515
04.12.2017 09:00:00.000 GMT-0500,133.844,134.947,133.837,134.084,1590
04.12.2017 09:05:00.000 GMT-0500,134.146,134.372,134.086,134.086,963
04.12.2017 09:10:00.000 GMT-0500,134.116,134.319,134.106,134.310,626
04.12.2017 09:15:00.000 GMT-0500,134.278,135.538,134.234,134.240,705
04.12.2017 09:20:00.000 GMT-0500,134.254,134.416,134.036,134.154,862
04.12.2017 09:25:00.000 GMT-0500,134.129,134.170,134.012,134.065,722
04.12.2017 09:30:00.000 GMT-0500,134.064,135.511,133.988,134.296,2288
04.12.2017 09:35:00.000 GMT-0500,134.307,135.365,134.038,134.143,1603
