Date,Close,Open,High,Low,Volume
10-May-19,"1,286.70","1,284.45","1,290.25","1,283.95",
09-May-19,"1,284.55","1,282.25","1,289.15","1,280.45",
08-May-19,"1,282.25","1,285.95","1,292.75","1,280.25",
07-May-19,"1,286.05","1,284.05","1,287.25","1,279.15",
06-May-19,"1,284.15","1,285.65","1,286.75","1,278.15",
05-May-19,"1,285.85","1,280.25","1,287.35","1,280.25",
03-May-19,"1,280.30","1,271.85","1,283.85","1,269.75",
02-May-19,"1,271.85","1,278.25","1,278.65","1,267.45",
01-May-19,"1,278.35","1,284.95","1,289.05","1,274.75",
30-Apr-19,"1,284.95","1,282.25","1,288.15","1,281.65",
29-Apr-19,"1,282.25","1,287.95","1,288.55","1,279.95",
28-Apr-19,"1,287.95","1,288.35","1,288.90","1,287.95",
26-Apr-19,"1,288.30","1,280.55","1,290.85","1,276.25",
25-Apr-19,"1,275.80","1,280.60","1,280.80","1,276.40",0.10K
24-Apr-19,"1,275.50","1,268.40","1,273.90","1,267.80",0.52K
23-Apr-19,"1,269.30","1,266.40","1,269.80","1,266.00",0.21K
22-Apr-19,"1,276.55","1,278.85","1,281.90","1,275.75",-
21-Apr-19,"1,278.85","1,277.80","1,279.15","1,277.55",-
19-Apr-19,"1,277.90","1,277.90","1,277.90","1,277.90",-
18-Apr-19,"1,271.90","1,270.80","1,273.60","1,270.10",0.03K
17-Apr-19,"1,272.20","1,273.50","1,273.50","1,271.60",0.31K
16-Apr-19,"1,272.60","1,285.20","1,285.20","1,272.20",0.64K
15-Apr-19,"1,286.80","1,284.80","1,287.30","1,282.30",0.52K
12-Apr-19,"1,290.60","1,293.40","1,293.40","1,289.20",0.61K
11-Apr-19,"1,288.60","1,307.00","1,307.10","1,289.10",0.42K
10-Apr-19,"1,309.10","1,304.00","1,304.00","1,301.50",0.07K
09-Apr-19,"1,303.50","1,298.50","1,304.90","1,298.50",0.03K
08-Apr-19,"1,297.10","1,292.20","1,302.10","1,291.80",0.06K
05-Apr-19,"1,290.40","1,292.00","1,292.00","1,283.60",0.18K
04-Apr-19,"1,289.00","1,290.60","1,292.60","1,279.50",0.27K
03-Apr-19,"1,289.90","1,291.40","1,293.10","1,287.50",0.17K
02-Apr-19,"1,290.00","1,286.30","1,290.90","1,284.50",0.53K
01-Apr-19,"1,288.40","1,291.80","1,295.90","1,285.70",0.68K
29-Mar-19,"1,293.00","1,289.60","1,298.50","1,286.10",1.27K
28-Mar-19,"1,289.80","1,308.40","1,311.10","1,287.70",87.80K
27-Mar-19,"1,310.40","1,315.40","1,318.80","1,307.30",206.26K
26-Mar-19,"1,315.00","1,321.50","1,323.00","1,312.10",267.17K
25-Mar-19,"1,322.60","1,313.30","1,324.50","1,310.60",251.98K
22-Mar-19,"1,312.30","1,309.30","1,314.70","1,306.50",271.38K
21-Mar-19,"1,307.30","1,312.70","1,320.20","1,302.80",332.61K
20-Mar-19,"1,301.70","1,306.00","1,317.20","1,298.10",370.40K
19-Mar-19,"1,306.50","1,303.70","1,310.80","1,302.10",206.90K
18-Mar-19,"1,301.50","1,302.00","1,306.70","1,298.00",176.49K
15-Mar-19,"1,302.90","1,295.60","1,306.30","1,293.70",234.65K
14-Mar-19,"1,295.10","1,309.50","1,310.30","1,292.50",248.21K
13-Mar-19,"1,309.30","1,301.80","1,311.60","1,300.60",214.24K
12-Mar-19,"1,298.10","1,293.60","1,302.60","1,292.00",203.89K
11-Mar-19,"1,291.10","1,298.20","1,299.20","1,290.60",196.86K
08-Mar-19,"1,299.30","1,286.70","1,301.30","1,285.60",283.84K
07-Mar-19,"1,286.10","1,287.30","1,289.60","1,280.80",257.92K
06-Mar-19,"1,287.60","1,288.80","1,291.80","1,284.30",192.93K
05-Mar-19,"1,284.70","1,287.80","1,290.60","1,282.00",216.93K
04-Mar-19,"1,287.50","1,294.40","1,298.10","1,283.80",268.39K
01-Mar-19,"1,299.20","1,315.50","1,316.50","1,291.30",343.47K
28-Feb-19,"1,316.10","1,321.70","1,328.90","1,314.00",252.24K
27-Feb-19,"1,321.20","1,331.00","1,332.00","1,318.40",198.04K
26-Feb-19,"1,328.50","1,329.90","1,332.40","1,325.50",185.56K
25-Feb-19,"1,329.50","1,331.90","1,334.90","1,327.30",181.78K
22-Feb-19,"1,332.80","1,325.80","1,335.60","1,323.80",241.80K
21-Feb-19,"1,327.80","1,341.70","1,344.30","1,323.30",285.81K
20-Feb-19,"1,347.90","1,343.90","1,349.80","1,339.80",246.72K
19-Feb-19,"1,344.80","1,325.00","1,345.00","1,323.80",348.64K
18-Feb-19,"1,329.55","1,324.35","1,330.75","1,324.05",-
17-Feb-19,"1,324.25","1,324.65","1,324.95","1,323.85",-
15-Feb-19,"1,322.10","1,315.50","1,325.80","1,314.30",200.28K
14-Feb-19,"1,313.90","1,309.60","1,317.40","1,304.70",228.46K
13-Feb-19,"1,315.10","1,314.30","1,321.70","1,308.10",213.96K
12-Feb-19,"1,314.00","1,311.60","1,318.30","1,310.00",146.45K
11-Feb-19,"1,311.90","1,318.10","1,318.70","1,307.10",150.61K
08-Feb-19,"1,318.50","1,314.30","1,319.50","1,311.50",135.69K
07-Feb-19,"1,314.20","1,310.90","1,315.80","1,306.40",166.76K
06-Feb-19,"1,314.40","1,319.40","1,319.90","1,309.60",137.25K
05-Feb-19,"1,319.20","1,316.80","1,321.00","1,314.80",129.01K
04-Feb-19,"1,319.30","1,322.60","1,323.60","1,312.70",159.56K
01-Feb-19,"1,322.10","1,326.00","1,328.20","1,320.60",200.00K
31-Jan-19,"1,325.20","1,325.40","1,331.10","1,322.20",224.75K
30-Jan-19,"1,315.50","1,317.00","1,328.60","1,313.50",272.11K
