Local time,Open,High,Low,Close,Volume
26.01.2017 09:30:00.000 GMT-0500,138.100,138.100,137.750,137.970,510590.9929
26.01.2017 09:35:00.000 GMT-0500,137.970,138.550,137.950,138.540,689847.0037
26.01.2017 09:40:00.000 GMT-0500,138.530,138.530,138.020,138.130,763696.0075
26.01.2017 09:45:00.000 GMT-0500,138.120,138.170,138.050,138.150,366282.99950000003
26.01.2017 09:50:00.000 GMT-0500,138.170,138.300,138.130,138.260,501050.0029
26.01.2017 09:55:00.000 GMT-0500,138.260,138.350,138.160,138.330,638996.0031
26.01.2017 10:00:00.000 GMT-0500,138.320,138.330,138.060,138.190,885029.979
26.01.2017 10:05:00.000 GMT-0500,138.180,138.180,138.050,138.170,680550.0016
26.01.2017 10:10:00.000 GMT-0500,138.170,138.380,138.160,138.350,903782.9936
26.01.2017 10:15:00.000 GMT-0500,138.340,138.420,138.270,138.300,723300.0026
26.01.2017 10:20:00.000 GMT-0500,138.280,138.280,138.070,138.070,587654.9929000001
26.01.2017 10:25:00.000 GMT-0500,138.070,138.150,138.030,138.140,513484.9995
26.01.2017 10:30:00.000 GMT-0500,138.160,138.320,138.140,138.280,660365.0079
26.01.2017 10:35:00.000 GMT-0500,138.260,138.390,138.240,138.370,609949.9872999999
26.01.2017 10:40:00.000 GMT-0500,138.360,138.360,138.110,138.110,541204.9889
26.01.2017 10:45:00.000 GMT-0500,138.120,138.180,138.110,138.110,564212.9965
26.01.2017 10:50:00.000 GMT-0500,138.090,138.310,138.080,138.280,645040.0055
26.01.2017 10:55:00.000 GMT-0500,138.280,138.340,138.250,138.340,547499.9994000001
26.01.2017 11:00:00.000 GMT-0500,138.330,138.340,138.290,138.320,390500.0035
26.01.2017 11:05:00.000 GMT-0500,138.320,138.380,138.250,138.350,528895.0019
26.01.2017 11:10:00.000 GMT-0500,138.350,138.360,138.290,138.360,505100.0044
26.01.2017 11:15:00.000 GMT-0500,138.350,138.350,138.310,138.330,352500.001
26.01.2017 11:20:00.000 GMT-0500,138.320,138.350,138.310,138.320,550100.0062
26.01.2017 11:25:00.000 GMT-0500,138.320,138.500,138.320,138.480,641300.0003
26.01.2017 11:30:00.000 GMT-0500,138.480,138.580,138.430,138.580,422462.00789999997
26.01.2017 11:35:00.000 GMT-0500,138.590,138.600,138.530,138.570,426039.9918
26.01.2017 11:40:00.000 GMT-0500,138.570,138.680,138.570,138.660,432900.00789999997
26.01.2017 11:45:00.000 GMT-0500,138.650,138.710,138.630,138.650,402699.9958
26.01.2017 11:50:00.000 GMT-0500,138.640,138.640,138.580,138.620,377999.9949
26.01.2017 11:55:00.000 GMT-0500,138.620,138.630,138.580,138.580,445700.00100000005
