Local time,Open,High,Low,Close,Volume
17.02.2017 09:30:00.000 GMT-0500,64.475,64.600,64.394,64.453,2.0109
17.02.2017 09:35:00.000 GMT-0500,64.450,64.500,64.310,64.420,1.6106
17.02.2017 09:40:00.000 GMT-0500,64.420,64.480,64.380,64.460,0.8509
17.02.2017 09:45:00.000 GMT-0500,64.460,64.490,64.420,64.470,0.7666
17.02.2017 09:50:00.000 GMT-0500,64.475,64.560,64.475,64.522,0.4844
17.02.2017 09:55:00.000 GMT-0500,64.520,64.550,64.510,64.540,0.2877
17.02.2017 10:00:00.000 GMT-0500,64.550,64.660,64.520,64.660,0.5664
17.02.2017 10:05:00.000 GMT-0500,64.651,64.690,64.610,64.611,0.49550000000000005
17.02.2017 10:10:00.000 GMT-0500,64.620,64.640,64.600,64.600,0.3126
17.02.2017 10:15:00.000 GMT-0500,64.600,64.620,64.600,64.610,0.1251
17.02.2017 10:20:00.000 GMT-0500,64.601,64.650,64.600,64.640,0.2066
17.02.2017 10:25:00.000 GMT-0500,64.632,64.640,64.570,64.600,0.2359
17.02.2017 10:30:00.000 GMT-0500,64.601,64.610,64.560,64.590,0.3077
17.02.2017 10:35:00.000 GMT-0500,64.590,64.600,64.570,64.570,0.1699
17.02.2017 10:40:00.000 GMT-0500,64.571,64.600,64.540,64.540,0.3341
17.02.2017 10:45:00.000 GMT-0500,64.541,64.550,64.490,64.500,0.3022
17.02.2017 10:50:00.000 GMT-0500,64.500,64.530,64.500,64.520,0.1709
17.02.2017 10:55:00.000 GMT-0500,64.515,64.520,64.480,64.500,0.1919
17.02.2017 11:00:00.000 GMT-0500,64.491,64.500,64.480,64.500,0.060899999999999996
17.02.2017 11:05:00.000 GMT-0500,64.491,64.500,64.480,64.500,0.0964
17.02.2017 11:10:00.000 GMT-0500,64.501,64.530,64.500,64.520,0.0974
17.02.2017 11:15:00.000 GMT-0500,64.520,64.540,64.490,64.490,0.22619999999999998
17.02.2017 11:20:00.000 GMT-0500,64.481,64.490,64.410,64.420,0.3708
17.02.2017 11:25:00.000 GMT-0500,64.415,64.430,64.380,64.430,0.1442
17.02.2017 11:30:00.000 GMT-0500,64.434,64.470,64.434,64.470,0.2118
17.02.2017 11:35:00.000 GMT-0500,64.462,64.470,64.430,64.440,0.192
17.02.2017 11:40:00.000 GMT-0500,64.444,64.480,64.430,64.430,0.1842
17.02.2017 11:45:00.000 GMT-0500,64.430,64.430,64.410,64.410,0.0822
17.02.2017 11:50:00.000 GMT-0500,64.402,64.430,64.390,64.420,0.1232
17.02.2017 11:55:00.000 GMT-0500,64.413,64.430,64.410,64.420,0.0921
17.02.2017 12:00:00.000 GMT-0500,64.411,64.450,64.410,64.450,0.0822
17.02.2017 12:05:00.000 GMT-0500,64.441,64.470,64.440,64.470,0.1315
17.02.2017 12:10:00.000 GMT-0500,64.461,64.480,64.450,64.470,0.1071
17.02.2017 12:15:00.000 GMT-0500,64.462,64.480,64.460,64.480,0.055999999999999994
17.02.2017 12:20:00.000 GMT-0500,64.480,64.520,64.480,64.520,0.0716
17.02.2017 12:25:00.000 GMT-0500,64.521,64.530,64.480,64.500,0.10930000000000001
