Local time,Open,High,Low,Close,Volume
01.04.2019 09:30:00.000 GMT-0400,191.59,191.67,190.98,191.01,139180.9971
01.04.2019 09:30:30.000 GMT-0400,190.99,191.18,190.66,190.69,47128.9997
01.04.2019 09:31:00.000 GMT-0400,190.65,191.01,190.65,190.79,33766.0003
01.04.2019 09:31:30.000 GMT-0400,190.79,191.07,190.59,191.01,48497.9997
01.04.2019 09:32:00.000 GMT-0400,191.01,191.22,190.83,190.83,54006.0002
01.04.2019 09:32:30.000 GMT-0400,190.83,191.0,190.83,190.91,52475.0002
01.04.2019 09:33:00.000 GMT-0400,190.96,191.07,190.93,191.05,50761.0001
01.04.2019 09:33:30.000 GMT-0400,191.08,191.08,190.77,190.79,72289.9992
01.04.2019 09:34:00.000 GMT-0400,190.79,190.79,190.58,190.62,128358.9992
01.04.2019 09:34:30.000 GMT-0400,190.62,190.79,190.61,190.79,107241.0004
01.04.2019 09:35:00.000 GMT-0400,190.8,190.98,190.78,190.88,108046.9985
01.04.2019 09:35:30.000 GMT-0400,190.88,190.92,190.78,190.86,73849.9997
01.04.2019 09:36:00.000 GMT-0400,190.83,190.87,190.59,190.74,149910.9994
01.04.2019 09:36:30.000 GMT-0400,190.74,190.87,190.72,190.79,153425.9994
01.04.2019 09:37:00.000 GMT-0400,190.79,190.83,190.71,190.78,66462.9999
01.04.2019 09:37:30.000 GMT-0400,190.79,190.85,190.73,190.74,140733.9999
01.04.2019 09:38:00.000 GMT-0400,190.74,190.74,190.4,190.45,179996.9987
01.04.2019 09:38:30.000 GMT-0400,190.44,190.5,190.31,190.36,208181.9991
01.04.2019 09:39:00.000 GMT-0400,190.36,190.45,190.34,190.41,71941.9991
01.04.2019 09:39:30.000 GMT-0400,190.44,190.48,190.33,190.38,121203.99900000001
01.04.2019 09:40:00.000 GMT-0400,190.38,190.51,190.3,190.51,124390.9994
01.04.2019 09:40:30.000 GMT-0400,190.51,190.62,190.4,190.53,169635.9987
01.04.2019 09:41:00.000 GMT-0400,190.53,190.58,190.09,190.18,118853.9994
01.04.2019 09:41:30.000 GMT-0400,190.2,190.29,190.09,190.1,155245.9994
01.04.2019 09:42:00.000 GMT-0400,190.09,190.15,189.95,190.1,157633.9991
01.04.2019 09:42:30.000 GMT-0400,190.1,190.26,190.08,190.14,88816.9997
01.04.2019 09:43:00.000 GMT-0400,190.15,190.35,190.11,190.34,92671.9996
01.04.2019 09:43:30.000 GMT-0400,190.34,190.34,190.19,190.2,141524.0006
01.04.2019 09:44:00.000 GMT-0400,190.2,190.35,190.16,190.35,96402.0
01.04.2019 09:44:30.000 GMT-0400,190.34,190.38,190.25,190.38,64472.9996
01.04.2019 09:45:00.000 GMT-0400,190.38,190.43,190.18,190.25,121618.9996
01.04.2019 09:45:30.000 GMT-0400,190.23,190.31,190.11,190.11,125433.0
01.04.2019 09:46:00.000 GMT-0400,190.11,190.3,190.08,190.15,131688.9997
01.04.2019 09:46:30.000 GMT-0400,190.15,190.25,190.11,190.2,113110.0006
01.04.2019 09:47:00.000 GMT-0400,190.2,190.34,190.1,190.34,154819.999
01.04.2019 09:47:30.000 GMT-0400,190.34,190.34,190.18,190.32,155160.9987
01.04.2019 09:48:00.000 GMT-0400,190.32,190.34,190.24,190.24,154115.0003
01.04.2019 09:48:30.000 GMT-0400,190.21,190.28,190.15,190.16,125459.9994
01.04.2019 09:49:00.000 GMT-0400,190.16,190.24,190.13,190.19,64351.9998
01.04.2019 09:49:30.000 GMT-0400,190.19,190.3,190.18,190.2,78263.9994
01.04.2019 09:50:00.000 GMT-0400,190.19,190.22,190.11,190.2,92469.9993
01.04.2019 09:50:30.000 GMT-0400,190.2,190.26,190.17,190.26,99232.0
01.04.2019 09:51:00.000 GMT-0400,190.26,190.43,190.25,190.43,93621.9997
01.04.2019 09:51:30.000 GMT-0400,190.43,190.47,190.37,190.4,101944.9995
01.04.2019 09:52:00.000 GMT-0400,190.4,190.45,190.34,190.4,130630.0015
01.04.2019 09:52:30.000 GMT-0400,190.4,190.4,190.34,190.36,102721.0006
01.04.2019 09:53:00.000 GMT-0400,190.36,190.38,190.28,190.28,118711.9998
01.04.2019 09:53:30.000 GMT-0400,190.27,190.27,190.16,190.19,90804.0005
01.04.2019 09:54:00.000 GMT-0400,190.19,190.19,189.79,189.9,166696.9988
01.04.2019 09:54:30.000 GMT-0400,189.9,189.95,189.73,189.77,112194.0009
01.04.2019 09:55:00.000 GMT-0400,189.77,189.87,189.72,189.87,79355.9994
01.04.2019 09:55:30.000 GMT-0400,189.87,190.01,189.87,189.97,75410.9994
01.04.2019 09:56:00.000 GMT-0400,189.97,190.02,189.88,190.0,39480.9994
01.04.2019 09:56:30.000 GMT-0400,190.0,190.23,189.98,190.21,99513.9992
01.04.2019 09:57:00.000 GMT-0400,190.21,190.26,190.15,190.19,84873.9997
01.04.2019 09:57:30.000 GMT-0400,190.2,190.22,190.12,190.12,96244.9996
01.04.2019 09:58:00.000 GMT-0400,190.09,190.15,190.07,190.14,72296.9996
01.04.2019 09:58:30.000 GMT-0400,190.14,190.21,190.14,190.19,53259.9996
01.04.2019 09:59:00.000 GMT-0400,190.19,190.21,190.06,190.08,101925.0
