Local time,Open,High,Low,Close,Volume
17.02.2017 09:30:00.000 GMT-0500,233.970,234.220,233.940,234.020,3314343.9889
17.02.2017 09:35:00.000 GMT-0500,234.025,234.300,234.025,234.150,3302606.0164
17.02.2017 09:40:00.000 GMT-0500,234.140,234.254,234.040,234.210,2362664.9976
17.02.2017 09:45:00.000 GMT-0500,234.211,234.440,234.180,234.430,1772726.9679
17.02.2017 09:50:00.000 GMT-0500,234.420,234.450,234.230,234.250,1475716.9932000001
17.02.2017 09:55:00.000 GMT-0500,234.230,234.320,234.170,234.320,1298643.9764999999
17.02.2017 10:00:00.000 GMT-0500,234.310,234.430,234.230,234.400,1620068.9822
17.02.2017 10:05:00.000 GMT-0500,234.403,234.450,234.270,234.290,1241169.9892000002
17.02.2017 10:10:00.000 GMT-0500,234.280,234.450,234.230,234.410,1110821.0086
17.02.2017 10:15:00.000 GMT-0500,234.400,234.490,234.310,234.400,1029095.0238
17.02.2017 10:20:00.000 GMT-0500,234.405,234.450,234.350,234.430,988169.9979000001
17.02.2017 10:25:00.000 GMT-0500,234.420,234.460,234.320,234.415,1342829.9875
17.02.2017 10:30:00.000 GMT-0500,234.422,234.450,234.240,234.300,1329558.0001
17.02.2017 10:35:00.000 GMT-0500,234.305,234.340,234.210,234.273,1180516.9881
17.02.2017 10:40:00.000 GMT-0500,234.271,234.350,234.250,234.270,921724.9900000001
17.02.2017 10:45:00.000 GMT-0500,234.271,234.370,234.250,234.300,728549.9946
17.02.2017 10:50:00.000 GMT-0500,234.295,234.300,234.190,234.260,886095.0024
17.02.2017 10:55:00.000 GMT-0500,234.260,234.330,234.180,234.220,1041694.9989
17.02.2017 11:00:00.000 GMT-0500,234.210,234.280,234.180,234.280,547642.9947
17.02.2017 11:05:00.000 GMT-0500,234.270,234.270,234.130,234.200,829225.0111
17.02.2017 11:10:00.000 GMT-0500,234.200,234.340,234.200,234.300,1192110.0019
17.02.2017 11:15:00.000 GMT-0500,234.290,234.350,234.090,234.090,1056089.9973
17.02.2017 11:20:00.000 GMT-0500,234.081,234.100,233.990,234.080,1219574.9879
17.02.2017 11:25:00.000 GMT-0500,234.083,234.135,234.000,234.110,794130.0123
17.02.2017 11:30:00.000 GMT-0500,234.110,234.200,234.100,234.184,827755.0152999999
17.02.2017 11:35:00.000 GMT-0500,234.190,234.220,234.130,234.160,842852.0114
17.02.2017 11:40:00.000 GMT-0500,234.164,234.240,234.140,234.230,668730.0019
17.02.2017 11:45:00.000 GMT-0500,234.235,234.240,234.180,234.230,570438.9959
17.02.2017 11:50:00.000 GMT-0500,234.221,234.330,234.200,234.290,542489.9869
17.02.2017 11:55:00.000 GMT-0500,234.280,234.310,234.230,234.260,819745.0042
17.02.2017 12:00:00.000 GMT-0500,234.250,234.310,234.210,234.310,571641.9927
17.02.2017 12:05:00.000 GMT-0500,234.301,234.330,234.270,234.300,422940.0009
17.02.2017 12:10:00.000 GMT-0500,234.295,234.360,234.260,234.310,465870.00409999996
17.02.2017 12:15:00.000 GMT-0500,234.310,234.320,234.280,234.310,544059.9955
17.02.2017 12:20:00.000 GMT-0500,234.301,234.410,234.300,234.390,354710.0033
