Local time,Open,High,Low,Close,Volume
02.11.2017 09:30:00.000 GMT-0400,96.210,96.600,96.210,96.310,808176.0033999999
02.11.2017 09:35:00.000 GMT-0400,96.310,96.450,96.280,96.400,2044276.9975
02.11.2017 09:40:00.000 GMT-0400,96.420,96.480,96.320,96.340,768955.9907
02.11.2017 09:45:00.000 GMT-0400,96.330,96.510,96.330,96.490,1097801.9908
02.11.2017 09:50:00.000 GMT-0400,96.490,96.490,96.390,96.410,658845.9908
02.11.2017 09:55:00.000 GMT-0400,96.410,96.650,96.380,96.650,1204434.0074
02.11.2017 10:00:00.000 GMT-0400,96.650,96.730,96.540,96.610,1310968.9800999998
02.11.2017 10:05:00.000 GMT-0400,96.610,96.650,96.370,96.460,1572907.0305
02.11.2017 10:10:00.000 GMT-0400,96.470,96.710,96.460,96.650,1261955.0078999999
02.11.2017 10:15:00.000 GMT-0400,96.660,96.890,96.660,96.840,1260907.9779
02.11.2017 10:20:00.000 GMT-0400,96.830,96.850,96.650,96.650,1007939.0108999999
02.11.2017 10:25:00.000 GMT-0400,96.660,96.840,96.640,96.700,1092657.0147
02.11.2017 10:30:00.000 GMT-0400,96.700,96.820,96.630,96.740,1064739.9872
02.11.2017 10:35:00.000 GMT-0400,96.730,96.730,96.570,96.590,799107.0133
02.11.2017 10:40:00.000 GMT-0400,96.600,96.770,96.600,96.630,1111359.0001
02.11.2017 10:45:00.000 GMT-0400,96.630,96.660,96.600,96.620,587670.0133
02.11.2017 10:50:00.000 GMT-0400,96.620,96.640,96.390,96.420,615617.0107
02.11.2017 10:55:00.000 GMT-0400,96.400,96.450,96.260,96.270,861395.0014000001
02.11.2017 11:00:00.000 GMT-0400,96.270,96.553,96.270,96.552,1085245.967
02.11.2017 11:05:00.000 GMT-0400,96.562,96.562,96.342,96.372,587077.0066999999
02.11.2017 11:10:00.000 GMT-0400,96.373,96.453,96.333,96.352,659780.0106
02.11.2017 11:15:00.000 GMT-0400,96.353,96.373,96.193,96.203,728439.0107000001
02.11.2017 11:20:00.000 GMT-0400,96.202,96.273,96.142,96.153,744728.9974
02.11.2017 11:25:00.000 GMT-0400,96.152,96.153,95.932,95.982,1040343.9774999999
02.11.2017 11:30:00.000 GMT-0400,95.953,96.003,95.892,96.002,1459399.9834
02.11.2017 11:35:00.000 GMT-0400,96.002,96.033,95.612,95.722,1845083.028
02.11.2017 11:40:00.000 GMT-0400,95.713,95.882,95.683,95.823,1221295.9825
02.11.2017 11:45:00.000 GMT-0400,95.822,95.943,95.722,95.772,1391861.9752
02.11.2017 11:50:00.000 GMT-0400,95.762,95.973,95.742,95.972,1109457.0011
02.11.2017 11:55:00.000 GMT-0400,95.953,96.003,95.912,95.973,913370.9893
02.11.2017 12:00:00.000 GMT-0400,95.972,96.093,95.913,96.073,1047855.0195000002
02.11.2017 12:05:00.000 GMT-0400,96.072,96.253,96.072,96.212,749577.9990999999
02.11.2017 12:10:00.000 GMT-0400,96.212,96.223,96.032,96.032,702395.0069999999
02.11.2017 12:15:00.000 GMT-0400,96.033,96.093,95.992,96.002,714331.9994000001
02.11.2017 12:20:00.000 GMT-0400,96.003,96.023,95.972,96.002,573114.9987
02.11.2017 12:25:00.000 GMT-0400,96.003,96.142,95.943,96.062,1290261.0154000001
02.11.2017 12:30:00.000 GMT-0400,96.063,96.082,95.963,96.002,1025347.9928
02.11.2017 12:35:00.000 GMT-0400,96.002,96.003,95.923,95.952,877891.0042
02.11.2017 12:40:00.000 GMT-0400,95.952,96.002,95.872,95.892,946639.0013
02.11.2017 12:45:00.000 GMT-0400,95.893,96.033,95.873,95.992,939773.0082
02.11.2017 12:50:00.000 GMT-0400,95.982,96.153,95.982,96.072,820004.0013
02.11.2017 12:55:00.000 GMT-0400,96.073,96.172,96.002,96.022,857714.0123000001
02.11.2017 13:00:00.000 GMT-0400,96.023,96.093,95.993,96.052,1142103.0014000002
02.11.2017 13:05:00.000 GMT-0400,96.053,96.063,95.982,96.042,730988.0033
02.11.2017 13:10:00.000 GMT-0400,96.043,96.193,96.043,96.193,803773.9918
02.11.2017 13:15:00.000 GMT-0400,96.183,96.233,96.163,96.222,558586.9886
02.11.2017 13:20:00.000 GMT-0400,96.223,96.223,96.142,96.152,627074.9941
02.11.2017 13:25:00.000 GMT-0400,96.152,96.153,96.083,96.102,649113.9941
02.11.2017 13:30:00.000 GMT-0400,96.093,96.122,96.012,96.012,547517.9963
02.11.2017 13:35:00.000 GMT-0400,96.023,96.112,96.022,96.072,569189.9955000001
02.11.2017 13:40:00.000 GMT-0400,96.072,96.163,96.062,96.163,677316.0026
02.11.2017 13:45:00.000 GMT-0400,96.142,96.183,96.122,96.142,735671.0060999999
02.11.2017 13:50:00.000 GMT-0400,96.113,96.173,96.092,96.152,612803.0066
02.11.2017 13:55:00.000 GMT-0400,96.132,96.173,96.102,96.142,493170.9952
02.11.2017 14:00:00.000 GMT-0400,96.142,96.193,96.122,96.193,725700.0179999999
