Date	Close	Open	High	Low	
10-May-19	6.824	6.8269	6.8278	6.7951	
09-May-19	6.8274	6.7823	6.8307	6.7823	
08-May-19	6.7828	6.7759	6.785	6.7656	
07-May-19	6.7769	6.7639	6.781	6.7563	
06-May-19	6.7645	6.7379	6.801	6.7379	
03-May-19	6.7346	6.7345	6.7346	6.7325	
02-May-19	6.7346	6.7348	6.7348	6.7325	
01-May-19	6.7349	6.7369	6.7369	6.7349	
30-Apr-19	6.7349	6.7328	6.7418	6.7311	
29-Apr-19	6.7336	6.7292	6.7364	6.7265	
26-Apr-19	6.7298	6.7436	6.7436	6.7263	
25-Apr-19	6.7431	6.7222	6.7496	6.7222	
24-Apr-19	6.7219	6.7251	6.7259	6.7145	
23-Apr-19	6.7259	6.7114	6.7276	6.7084	
22-Apr-19	6.712	6.7036	6.7149	6.7023	
19-Apr-19	6.7042	6.7063	6.7074	6.7001	
18-Apr-19	6.7091	6.6871	6.7095	6.6845	
17-Apr-19	6.6882	6.7108	6.7116	6.6841	
16-Apr-19	6.7122	6.7081	6.7134	6.7054	
15-Apr-19	6.7086	6.7043	6.711	6.7036	
12-Apr-19	6.7044	6.7194	6.7235	6.6989	
11-Apr-19	6.7194	6.7132	6.7197	6.7103	
10-Apr-19	6.716	6.7176	6.7188	6.7099	
09-Apr-19	6.7119	6.7127	6.7195	6.7079	
08-Apr-19	6.7164	6.7144	6.7218	6.711	
05-Apr-19	6.719	6.719	6.719	6.719	
04-Apr-19	6.7174	6.7073	6.7207	6.7065	
03-Apr-19	6.7114	6.7229	6.7229	6.705	
02-Apr-19	6.7233	6.7176	6.7252	6.7149	
01-Apr-19	6.7115	6.7125	6.7144	6.7003	
29-Mar-19	6.712	6.7336	6.7364	6.7066	
28-Mar-19	6.739	6.7267	6.7408	6.7207	
27-Mar-19	6.7271	6.713	6.7278	6.7111	
26-Mar-19	6.7157	6.7071	6.7167	6.7026	
25-Mar-19	6.7094	6.7211	6.7214	6.7053	
22-Mar-19	6.7181	6.7028	6.7183	6.6974	
21-Mar-19	6.6993	6.6806	6.7001	6.6726	
20-Mar-19	6.6946	6.7187	6.7198	6.6941	
19-Mar-19	6.7119	6.7145	6.7211	6.7095	
18-Mar-19	6.713	6.7138	6.718	6.7081	
15-Mar-19	6.7138	6.7222	6.7302	6.7069	
14-Mar-19	6.723	6.7077	6.7299	6.7031	
13-Mar-19	6.7071	6.7053	6.7123	6.7026	
12-Mar-19	6.7085	6.7241	6.7241	6.7038	
11-Mar-19	6.7265	6.7244	6.7315	6.7224	
08-Mar-19	6.7216	6.7268	6.7278	6.7173	
07-Mar-19	6.7149	6.7082	6.715	6.7034	
06-Mar-19	6.7119	6.7064	6.7201	6.7032	
05-Mar-19	6.7076	6.7077	6.7085	6.697	
04-Mar-19	6.7073	6.7086	6.7086	6.6868	
01-Mar-19	6.7064	6.6943	6.7112	6.6942	
28-Feb-19	6.6941	6.6876	6.6943	6.679	
27-Feb-19	6.6872	6.6937	6.6984	6.6783	
26-Feb-19	6.7002	6.6893	6.7066	6.6893	
25-Feb-19	6.6894	6.7167	6.7167	6.6768	
22-Feb-19	6.7142	6.7314	6.7368	6.7114	
21-Feb-19	6.7198	6.7199	6.7263	6.6887	
20-Feb-19	6.7213	6.7374	6.7415	6.7139	
19-Feb-19	6.7587	6.7729	6.7825	6.7564	
18-Feb-19	6.7667	6.7725	6.7725	6.7526	
15-Feb-19	6.773	6.7757	6.7864	6.7684	
14-Feb-19	6.7721	6.7676	6.7779	6.7583	
13-Feb-19	6.7604	6.7584	6.7665	6.7506	
12-Feb-19	6.774	6.7912	6.7956	6.7661	
11-Feb-19	6.7923	6.7435	6.7939	6.7435	
08-Feb-19	6.7448	6.7448	6.7448	6.7448	
07-Feb-19	6.7448	6.7448	6.7448	6.7448	
06-Feb-19	6.7448	6.7448	6.7448	6.7448	
05-Feb-19	6.7448	6.7448	6.7448	6.7448	
04-Feb-19	6.7448	6.7448	6.7448	6.7448	
01-Feb-19	6.7448	6.7005	6.7448	6.7005	
31-Jan-19	6.7008	6.6996	6.716	6.6955	
30-Jan-19	6.7165	6.7354	6.7354	6.7081	
29-Jan-19	6.7329	6.7467	6.7554	6.73	
28-Jan-19	6.7453	6.7415	6.7459	6.7215	
25-Jan-19	6.7473	6.7919	6.793	6.7472	
24-Jan-19	6.7885	6.7821	6.8013	6.7793	
23-Jan-19	6.792	6.805	6.8058	6.7782	
22-Jan-19	6.808	6.7912	6.8112	6.7912	
21-Jan-19	6.798	6.7966	6.8019	6.7866	
18-Jan-19	6.779	6.7721	6.7831	6.7693	
17-Jan-19	6.7764	6.7465	6.7797	6.7465	
16-Jan-19	6.7568	6.7729	6.7824	6.755	
15-Jan-19	6.761	6.7465	6.7613	6.7392	
14-Jan-19	6.768	6.7434	6.7714	6.735	
13-Jan-19	6.763	6.7627	6.7631	6.7627	
11-Jan-19	6.763	6.7933	6.7934	6.7394	
10-Jan-19	6.7885	6.8173	6.8235	6.7733	
09-Jan-19	6.8165	6.8485	6.8485	6.8165	
08-Jan-19	6.8532	6.8443	6.8623	6.8438	
07-Jan-19	6.851	6.8507	6.8531	6.844	
06-Jan-19	6.8694	6.8694	6.8694	6.8694	
04-Jan-19	6.8692	6.8687	6.8737	6.8639	
03-Jan-19	6.872	6.8639	6.8839	6.8639	
02-Jan-19	6.862	6.8631	6.8694	6.8506	
01-Jan-19	6.8785	6.8785	6.8785	6.8785	
31-Dec-18	6.8785	6.8785	6.8785	6.8785	
30-Dec-18	6.8782	6.8782	6.8782	6.8782	
28-Dec-18	6.8785	6.8648	6.8785	6.85	
27-Dec-18	6.8663	6.8899	6.8964	6.8635	
26-Dec-18	6.8854	6.8873	6.8919	6.8761	
25-Dec-18	6.8872	6.8961	6.8979	6.8765	
24-Dec-18	6.8991	6.9078	6.9131	6.8949	
23-Dec-18	6.9064	6.9064	6.9064	6.9064	
21-Dec-18	6.9065	6.8818	6.9078	6.8818	
20-Dec-18	6.8851	6.905	6.915	6.8836	
19-Dec-18	6.8922	6.8908	6.8983	6.8873	
18-Dec-18	6.8951	6.8917	6.9017	6.8882	
17-Dec-18	6.8972	6.9009	6.9035	6.8927	
16-Dec-18	6.9076	6.9076	6.9076	6.9076	
14-Dec-18	6.9077	6.8883	6.9078	6.8869	
13-Dec-18	6.8816	6.8776	6.8837	6.8641	
12-Dec-18	6.88	6.8849	6.8951	6.8769	
11-Dec-18	6.9	6.9185	6.9185	6.895	
