Date,Close,Open,High,Low
10-May-19,2.473,2.462,2.473,2.428
09-May-19,2.453,2.478,2.478,2.428
08-May-19,2.478,2.458,2.491,2.428
07-May-19,2.455,2.469,2.498,2.446
06-May-19,2.478,2.523,2.523,2.473
05-May-19,2.53,2.53,2.53,2.53
03-May-19,2.53,2.541,2.565,2.521
02-May-19,2.545,2.505,2.554,2.505
01-May-19,2.502,2.503,2.514,2.459
30-Apr-19,2.504,2.527,2.55,2.502
29-Apr-19,2.527,2.509,2.541,2.504
26-Apr-19,2.5,2.529,2.545,2.495
25-Apr-19,2.534,2.523,2.542,2.516
24-Apr-19,2.518,2.572,2.572,2.518
23-Apr-19,2.569,2.587,2.594,2.563
22-Apr-19,2.587,2.558,2.592,2.558
21-Apr-19,2.56,2.561,2.561,2.558
18-Apr-19,2.56,2.587,2.589,2.549
17-Apr-19,2.594,2.585,2.614,2.579
16-Apr-19,2.592,2.556,2.596,2.547
15-Apr-19,2.556,2.558,2.574,2.547
14-Apr-19,2.556,2.558,2.558,2.556
12-Apr-19,2.562,2.499,2.567,2.49
11-Apr-19,2.499,2.474,2.51,2.47
10-Apr-19,2.465,2.501,2.511,2.463
09-Apr-19,2.502,2.519,2.527,2.485
08-Apr-19,2.52,2.503,2.524,2.486
07-Apr-19,2.503,2.504,2.504,2.503
05-Apr-19,2.499,2.515,2.544,2.494
04-Apr-19,2.513,2.517,2.526,2.496
03-Apr-19,2.528,2.472,2.528,2.469
02-Apr-19,2.472,2.488,2.492,2.467
01-Apr-19,2.503,2.43,2.508,2.424
31-Mar-19,2.428,2.424,2.428,2.424
29-Mar-19,2.407,2.393,2.433,2.391
28-Mar-19,2.391,2.365,2.405,2.34
27-Mar-19,2.381,2.425,2.432,2.352
26-Mar-19,2.425,2.414,2.453,2.402
25-Mar-19,2.405,2.453,2.473,2.377
24-Mar-19,2.451,2.45,2.451,2.45
22-Mar-19,2.437,2.539,2.539,2.418
21-Mar-19,2.539,2.524,2.546,2.5
20-Mar-19,2.525,2.616,2.618,2.524
19-Mar-19,2.618,2.603,2.634,2.591
18-Mar-19,2.605,2.594,2.611,2.585
17-Mar-19,2.594,2.592,2.594,2.592
15-Mar-19,2.591,2.628,2.638,2.58
14-Mar-19,2.63,2.621,2.645,2.611
13-Mar-19,2.625,2.607,2.628,2.605
12-Mar-19,2.6,2.657,2.674,2.596
11-Mar-19,2.641,2.63,2.659,2.623
10-Mar-19,2.63,2.628,2.63,2.628
08-Mar-19,2.63,2.645,2.652,2.607
07-Mar-19,2.641,2.69,2.693,2.636
06-Mar-19,2.693,2.719,2.72,2.679
05-Mar-19,2.719,2.728,2.75,2.715
04-Mar-19,2.724,2.766,2.768,2.719
03-Mar-19,2.766,2.77,2.77,2.766
01-Mar-19,2.759,2.719,2.768,2.711
28-Feb-19,2.717,2.675,2.731,2.659
27-Feb-19,2.686,2.634,2.699,2.628
26-Feb-19,2.638,2.663,2.668,2.632
25-Feb-19,2.668,2.668,2.684,2.655
24-Feb-19,2.666,2.664,2.666,2.664
22-Feb-19,2.654,2.688,2.688,2.638
21-Feb-19,2.695,2.645,2.697,2.641
20-Feb-19,2.648,2.641,2.659,2.627
19-Feb-19,2.636,2.675,2.675,2.634
18-Feb-19,2.673,2.673,2.673,2.673
15-Feb-19,2.664,2.659,2.688,2.645
14-Feb-19,2.655,2.698,2.713,2.643
13-Feb-19,2.709,2.693,2.715,2.681
12-Feb-19,2.686,2.654,2.691,2.654
11-Feb-19,2.654,2.638,2.67,2.636
10-Feb-19,2.634,2.634,2.634,2.634
