Date,Close,Open,High,Low
10-May-19,2.424,2.425,2.425,2.422
09-May-19,2.425,2.428,2.428,2.422
08-May-19,2.43,2.438,2.438,2.422
07-May-19,2.425,2.43,2.43,2.425
06-May-19,2.431,2.424,2.431,2.417
05-May-19,2.427,2.427,2.427,2.427
03-May-19,2.427,2.424,2.427,2.422
02-May-19,2.428,2.438,2.438,2.417
01-May-19,2.417,2.428,2.428,2.405
30-Apr-19,2.432,2.438,2.441,2.425
29-Apr-19,2.423,2.419,2.422,2.417
26-Apr-19,2.423,2.422,2.422,2.414
25-Apr-19,2.429,2.43,2.43,2.417
24-Apr-19,2.434,2.438,2.474,2.422
23-Apr-19,2.45,2.474,2.556,2.441
22-Apr-19,2.441,2.427,2.437,2.427
21-Apr-19,2.427,2.427,2.427,2.427
18-Apr-19,2.429,2.437,2.44,2.422
17-Apr-19,2.439,2.433,2.461,2.43
16-Apr-19,2.442,2.433,2.435,2.428
15-Apr-19,2.423,2.427,2.432,2.411
14-Apr-19,2.432,2.432,2.432,2.432
12-Apr-19,2.441,2.422,2.435,2.419
11-Apr-19,2.429,2.42,2.438,2.417
10-Apr-19,2.427,2.43,2.435,2.417
09-Apr-19,2.429,2.415,2.435,2.415
08-Apr-19,2.429,2.427,2.427,2.422
07-Apr-19,2.43,2.43,2.43,2.43
05-Apr-19,2.434,2.433,2.433,2.427
04-Apr-19,2.434,2.428,2.435,2.428
03-Apr-19,2.437,2.428,2.433,2.428
02-Apr-19,2.434,2.413,2.436,2.413
01-Apr-19,2.392,2.417,2.417,2.383
31-Mar-19,2.401,2.401,2.401,2.401
29-Mar-19,2.4,2.432,2.432,2.391
28-Mar-19,2.437,2.44,2.44,2.428
27-Mar-19,2.442,2.458,2.461,2.428
26-Mar-19,2.47,2.459,2.464,2.459
25-Mar-19,2.454,2.453,2.46,2.447
24-Mar-19,2.453,2.453,2.453,2.453
22-Mar-19,2.462,2.466,2.466,2.453
21-Mar-19,2.473,2.492,2.492,2.461
20-Mar-19,2.473,2.466,2.474,2.456
19-Mar-19,2.47,2.466,2.466,2.456
18-Mar-19,2.446,2.442,2.447,2.44
17-Mar-19,2.442,2.442,2.442,2.442
15-Mar-19,2.452,2.447,2.447,2.442
14-Mar-19,2.452,2.448,2.448,2.443
13-Mar-19,2.452,2.451,2.458,2.446
12-Mar-19,2.46,2.433,2.454,2.433
11-Mar-19,2.444,2.453,2.453,2.437
10-Mar-19,2.453,2.453,2.453,2.453
08-Mar-19,2.454,2.453,2.471,2.447
07-Mar-19,2.46,2.458,2.463,2.453
06-Mar-19,2.465,2.456,2.461,2.453
05-Mar-19,2.465,2.464,2.466,2.456
04-Mar-19,2.432,2.44,2.442,2.432
03-Mar-19,2.44,2.44,2.44,2.44
01-Mar-19,2.435,2.44,2.445,2.435
28-Feb-19,2.44,2.445,2.448,2.438
27-Feb-19,2.451,2.459,2.461,2.443
26-Feb-19,2.458,2.443,2.464,2.443
25-Feb-19,2.45,2.45,2.455,2.445
24-Feb-19,2.45,2.45,2.45,2.45
22-Feb-19,2.45,2.45,2.453,2.445
21-Feb-19,2.448,2.456,2.461,2.433
20-Feb-19,2.446,2.428,2.456,2.428
19-Feb-19,2.429,2.429,2.442,2.422
18-Feb-19,2.429,2.429,2.429,2.429
15-Feb-19,2.427,2.442,2.442,2.424
14-Feb-19,2.43,2.443,2.443,2.425
13-Feb-19,2.43,2.438,2.448,2.428
12-Feb-19,2.435,2.454,2.454,2.435
11-Feb-19,2.432,2.427,2.44,2.419
10-Feb-19,2.422,2.422,2.422,2.422
08-Feb-19,2.422,2.424,2.424,2.409
07-Feb-19,2.412,2.425,2.425,2.404
06-Feb-19,2.417,2.428,2.433,2.412
05-Feb-19,2.417,2.428,2.433,2.418
04-Feb-19,2.391,2.396,2.396,2.381
03-Feb-19,2.396,2.396,2.396,2.396
01-Feb-19,2.396,2.401,2.404,2.396
31-Jan-19,2.397,2.425,2.433,2.397
30-Jan-19,2.417,2.422,2.43,2.417
29-Jan-19,2.423,2.425,2.43,2.42
28-Jan-19,2.388,2.383,2.394,2.383
27-Jan-19,2.383,2.383,2.383,2.383
25-Jan-19,2.383,2.371,2.389,2.368
24-Jan-19,2.369,2.44,2.445,2.363
23-Jan-19,2.41,2.441,2.446,2.405
22-Jan-19,2.401,2.406,2.411,2.398
21-Jan-19,2.406,2.406,2.406,2.406
18-Jan-19,2.404,2.411,2.411,2.401
17-Jan-19,2.41,2.42,2.435,2.404
16-Jan-19,2.42,2.451,2.464,2.412
15-Jan-19,2.451,2.451,2.456,2.448
14-Jan-19,2.417,2.427,2.427,2.414
13-Jan-19,2.422,2.422,2.422,2.422
11-Jan-19,2.424,2.43,2.432,2.422
10-Jan-19,2.433,2.445,2.448,2.43
09-Jan-19,2.443,2.459,2.474,2.441
08-Jan-19,2.458,2.456,2.471,2.446
07-Jan-19,2.409,2.424,2.427,2.409
06-Jan-19,2.424,2.424,2.424,2.424
04-Jan-19,2.414,2.437,2.437,2.409
03-Jan-19,2.412,2.422,2.471,2.407
02-Jan-19,2.417,2.469,2.469,2.415
01-Jan-19,2.466,2.466,2.466,2.466
31-Dec-18,2.381,2.388,2.48,2.373
30-Dec-18,2.386,2.386,2.386,2.386
28-Dec-18,2.383,2.412,2.417,2.378
27-Dec-18,2.41,2.446,2.453,2.407
26-Dec-18,2.435,2.443,2.453,2.428
25-Dec-18,2.443,2.443,2.443,2.443
24-Dec-18,2.388,2.391,2.398,2.386
23-Dec-18,2.386,2.386,2.386,2.386
21-Dec-18,2.386,2.386,2.407,2.373
20-Dec-18,2.392,2.438,2.438,2.386
19-Dec-18,2.394,2.384,2.407,2.382
18-Dec-18,2.384,2.4,2.43,2.382
17-Dec-18,2.394,2.427,2.427,2.388
